K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.6110111111111111,0.01280204941155136
Kpct_0.1,uncertain,0.001,0,200,0.6055555555555555,0.0
Kpct_0.1,uniform,0.001,0,200,0.5832222222222222,0.0
Kpct_0.1,random,0.001,0,400,0.5705111111111111,0.026791706842893677
Kpct_0.1,uncertain,0.001,0,400,0.5116666666666667,0.0
Kpct_0.1,uniform,0.001,0,400,0.5007777777777778,0.0
Kpct_0.1,random,0.001,0,800,0.5438444444444445,0.03815689507776162
Kpct_0.1,uncertain,0.001,0,800,0.4291111111111111,0.0
Kpct_0.1,uniform,0.001,0,800,0.45766666666666667,0.0
Kpct_0.1,random,0.001,5,200,0.627311111111111,0.012893753871114856
Kpct_0.1,uncertain,0.001,5,200,0.6485555555555556,0.0
Kpct_0.1,uniform,0.001,5,200,0.6317777777777778,0.0
Kpct_0.1,random,0.001,5,400,0.5891111111111111,0.01967664530275347
Kpct_0.1,uncertain,0.001,5,400,0.5851111111111111,0.0
Kpct_0.1,uniform,0.001,5,400,0.5405555555555556,0.0
Kpct_0.1,random,0.001,5,800,0.5488999999999999,0.031087151488264752
Kpct_0.1,uncertain,0.001,5,800,0.4152222222222222,0.0
Kpct_0.1,uniform,0.001,5,800,0.474,0.0
Kpct_0.1,random,0.001,10,200,0.6293222222222222,0.012128982736496173
Kpct_0.1,uncertain,0.001,10,200,0.655,0.0
Kpct_0.1,uniform,0.001,10,200,0.6428888888888888,0.0
Kpct_0.1,random,0.001,10,400,0.5958444444444444,0.016660606305568124
Kpct_0.1,uncertain,0.001,10,400,0.6132222222222222,0.0
Kpct_0.1,uniform,0.001,10,400,0.5848888888888889,0.0
Kpct_0.1,random,0.001,10,800,0.5559111111111111,0.027389048906451646
Kpct_0.1,uncertain,0.001,10,800,0.47055555555555556,0.0
Kpct_0.1,uniform,0.001,10,800,0.5114444444444445,0.0
Kpct_0.1,random,0.0001,0,200,0.6539222222222222,0.005024151546821818
Kpct_0.1,uncertain,0.0001,0,200,0.6526666666666666,0.0
Kpct_0.1,uniform,0.0001,0,200,0.652,0.0
Kpct_0.1,random,0.0001,0,400,0.6462111111111111,0.007216313822526378
Kpct_0.1,uncertain,0.0001,0,400,0.6457777777777778,0.0
Kpct_0.1,uniform,0.0001,0,400,0.643,0.0
Kpct_0.1,random,0.0001,0,800,0.6369444444444444,0.010001882538851753
Kpct_0.1,uncertain,0.0001,0,800,0.6383333333333333,0.0
Kpct_0.1,uniform,0.0001,0,800,0.6275555555555555,0.0
Kpct_0.1,random,0.0001,5,200,0.6546777777777777,0.0050013454979758575
Kpct_0.1,uncertain,0.0001,5,200,0.6624444444444444,0.0
Kpct_0.1,uniform,0.0001,5,200,0.6553333333333333,0.0
Kpct_0.1,random,0.0001,5,400,0.6489222222222223,0.008919122195639034
Kpct_0.1,uncertain,0.0001,5,400,0.6618888888888889,0.0
Kpct_0.1,uniform,0.0001,5,400,0.6525555555555556,0.0
Kpct_0.1,random,0.0001,5,800,0.6437999999999999,0.01034656261879718
Kpct_0.1,uncertain,0.0001,5,800,0.659,0.0
Kpct_0.1,uniform,0.0001,5,800,0.6498888888888888,0.0
Kpct_0.1,random,0.0001,10,200,0.652588888888889,0.00489773190137819
Kpct_0.1,uncertain,0.0001,10,200,0.6635555555555556,0.0
Kpct_0.1,uniform,0.0001,10,200,0.6563333333333333,0.0
Kpct_0.1,random,0.0001,10,400,0.6451888888888888,0.009220354563226136
Kpct_0.1,uncertain,0.0001,10,400,0.6634444444444444,0.0
Kpct_0.1,uniform,0.0001,10,400,0.654,0.0
Kpct_0.1,random,0.0001,10,800,0.6416555555555555,0.011410786536550243
Kpct_0.1,uncertain,0.0001,10,800,0.6614444444444444,0.0
Kpct_0.1,uniform,0.0001,10,800,0.6515555555555556,0.0
