K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.7567888888888888,0.015549558367751121
Kpct_0.1,uncertain,0.001,0,200,0.7881111111111111,0.0
Kpct_0.1,uniform,0.001,0,200,0.7557777777777778,0.0
Kpct_0.1,random,0.001,0,400,0.7440666666666668,0.01836846465622973
Kpct_0.1,uncertain,0.001,0,400,0.7625555555555555,0.0
Kpct_0.1,uniform,0.001,0,400,0.7456666666666667,0.0
Kpct_0.1,random,0.001,0,800,0.7263777777777778,0.020887245798262555
Kpct_0.1,uncertain,0.001,0,800,0.674,0.0
Kpct_0.1,uniform,0.001,0,800,0.729,0.0
Kpct_0.1,random,0.001,5,200,0.7529888888888889,0.01414767354255345
Kpct_0.1,uncertain,0.001,5,200,0.7811111111111111,0.0
Kpct_0.1,uniform,0.001,5,200,0.7627777777777778,0.0
Kpct_0.1,random,0.001,5,400,0.7390777777777778,0.017889444435818084
Kpct_0.1,uncertain,0.001,5,400,0.7502222222222222,0.0
Kpct_0.1,uniform,0.001,5,400,0.7464444444444445,0.0
Kpct_0.1,random,0.001,5,800,0.7161666666666667,0.023775246490394433
Kpct_0.1,uncertain,0.001,5,800,0.6697777777777778,0.0
Kpct_0.1,uniform,0.001,5,800,0.7208888888888889,0.0
Kpct_0.1,random,0.001,10,200,0.7491777777777778,0.015020742859438828
Kpct_0.1,uncertain,0.001,10,200,0.7826666666666666,0.0
Kpct_0.1,uniform,0.001,10,200,0.7626666666666667,0.0
Kpct_0.1,random,0.001,10,400,0.7365333333333334,0.017485076529273988
Kpct_0.1,uncertain,0.001,10,400,0.7533333333333333,0.0
Kpct_0.1,uniform,0.001,10,400,0.7445555555555555,0.0
Kpct_0.1,random,0.001,10,800,0.715111111111111,0.021490164273309464
Kpct_0.1,uncertain,0.001,10,800,0.6803333333333333,0.0
Kpct_0.1,uniform,0.001,10,800,0.7213333333333334,0.0
Kpct_0.1,random,0.0001,0,200,0.7732555555555555,0.009058527119805242
Kpct_0.1,uncertain,0.0001,0,200,0.7898888888888889,0.0
Kpct_0.1,uniform,0.0001,0,200,0.7754444444444445,0.0
Kpct_0.1,random,0.0001,0,400,0.7686777777777778,0.01192284351699978
Kpct_0.1,uncertain,0.0001,0,400,0.7903333333333333,0.0
Kpct_0.1,uniform,0.0001,0,400,0.7692222222222223,0.0
Kpct_0.1,random,0.0001,0,800,0.7656777777777778,0.01426300143295736
Kpct_0.1,uncertain,0.0001,0,800,0.79,0.0
Kpct_0.1,uniform,0.0001,0,800,0.7651111111111111,0.0
Kpct_0.1,random,0.0001,5,200,0.7746444444444445,0.006725261021140326
Kpct_0.1,uncertain,0.0001,5,200,0.7902222222222223,0.0
Kpct_0.1,uniform,0.0001,5,200,0.7846666666666666,0.0
Kpct_0.1,random,0.0001,5,400,0.7692222222222223,0.009107722947254758
Kpct_0.1,uncertain,0.0001,5,400,0.7901111111111111,0.0
Kpct_0.1,uniform,0.0001,5,400,0.7796666666666666,0.0
Kpct_0.1,random,0.0001,5,800,0.7634888888888889,0.010943874773668082
Kpct_0.1,uncertain,0.0001,5,800,0.7902222222222223,0.0
Kpct_0.1,uniform,0.0001,5,800,0.7765555555555556,0.0
Kpct_0.1,random,0.0001,10,200,0.7708444444444444,0.007753167413275141
Kpct_0.1,uncertain,0.0001,10,200,0.7888888888888889,0.0
Kpct_0.1,uniform,0.0001,10,200,0.7826666666666666,0.0
Kpct_0.1,random,0.0001,10,400,0.7641444444444445,0.010350887121282442
Kpct_0.1,uncertain,0.0001,10,400,0.7881111111111111,0.0
Kpct_0.1,uniform,0.0001,10,400,0.7791111111111111,0.0
Kpct_0.1,random,0.0001,10,800,0.7582888888888889,0.012399641571880669
Kpct_0.1,uncertain,0.0001,10,800,0.7897777777777778,0.0
Kpct_0.1,uniform,0.0001,10,800,0.775,0.0
Kpct_0.1,random,1e-05,0,200,0.7867444444444445,0.0023732303348436845
Kpct_0.1,uncertain,1e-05,0,200,0.7883333333333333,0.0
Kpct_0.1,uniform,1e-05,0,200,0.787,0.0
Kpct_0.1,random,1e-05,0,400,0.7842111111111111,0.003659066196736376
Kpct_0.1,uncertain,1e-05,0,400,0.7882222222222223,0.0
Kpct_0.1,uniform,1e-05,0,400,0.7852222222222223,0.0
Kpct_0.1,random,1e-05,0,800,0.7805333333333333,0.005351773676220022
Kpct_0.1,uncertain,1e-05,0,800,0.7877777777777778,0.0
Kpct_0.1,uniform,1e-05,0,800,0.781,0.0
Kpct_0.1,random,1e-05,5,200,0.7857444444444445,0.001790958085550169
Kpct_0.1,uncertain,1e-05,5,200,0.7896666666666666,0.0
Kpct_0.1,uniform,1e-05,5,200,0.7876666666666666,0.0
Kpct_0.1,random,1e-05,5,400,0.7826777777777777,0.004138482455808787
Kpct_0.1,uncertain,1e-05,5,400,0.7891111111111111,0.0
Kpct_0.1,uniform,1e-05,5,400,0.788,0.0
Kpct_0.1,random,1e-05,5,800,0.7796555555555555,0.005305122146346323
Kpct_0.1,uncertain,1e-05,5,800,0.7895555555555556,0.0
Kpct_0.1,uniform,1e-05,5,800,0.7867777777777778,0.0
Kpct_0.1,random,1e-05,10,200,0.7853000000000001,0.0023184978108174844
Kpct_0.1,uncertain,1e-05,10,200,0.7895555555555556,0.0
Kpct_0.1,uniform,1e-05,10,200,0.7884444444444444,0.0
Kpct_0.1,random,1e-05,10,400,0.7812,0.0049029595496678235
Kpct_0.1,uncertain,1e-05,10,400,0.789,0.0
Kpct_0.1,uniform,1e-05,10,400,0.7872222222222223,0.0
Kpct_0.1,random,1e-05,10,800,0.7769666666666667,0.006241250666055889
Kpct_0.1,uncertain,1e-05,10,800,0.7882222222222223,0.0
Kpct_0.1,uniform,1e-05,10,800,0.7854444444444444,0.0
Kpct_1,random,0.001,0,200,0.8179111111111113,0.004367331020991398
Kpct_1,uncertain,0.001,0,200,0.8104444444444444,0.0
