K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.7423111111111111,0.014716481060865556
Kpct_0.1,uncertain,0.001,0,200,0.7222222222222222,0.0
Kpct_0.1,uniform,0.001,0,200,0.7674444444444445,0.0
Kpct_0.1,random,0.001,0,400,0.7399444444444445,0.015667237972246825
Kpct_0.1,uncertain,0.001,0,400,0.7102222222222222,0.0
Kpct_0.1,uniform,0.001,0,400,0.7651111111111111,0.0
Kpct_0.1,random,0.001,0,800,0.7365222222222222,0.01599313510136053
Kpct_0.1,uncertain,0.001,0,800,0.696,0.0
Kpct_0.1,uniform,0.001,0,800,0.7611111111111111,0.0
Kpct_0.1,random,0.001,5,200,0.7175333333333334,0.028904474428283745
Kpct_0.1,uncertain,0.001,5,200,0.7564444444444445,0.0
Kpct_0.1,uniform,0.001,5,200,0.7576666666666667,0.0
Kpct_0.1,random,0.001,5,400,0.7034222222222222,0.030260465998876097
Kpct_0.1,uncertain,0.001,5,400,0.7404444444444445,0.0
Kpct_0.1,uniform,0.001,5,400,0.7447777777777778,0.0
Kpct_0.1,random,0.001,5,800,0.6919666666666667,0.031389588979409994
Kpct_0.1,uncertain,0.001,5,800,0.7096666666666667,0.0
Kpct_0.1,uniform,0.001,5,800,0.7313333333333333,0.0
Kpct_0.1,random,0.001,10,200,0.7115111111111111,0.028384189652379065
Kpct_0.1,uncertain,0.001,10,200,0.7594444444444445,0.0
Kpct_0.1,uniform,0.001,10,200,0.7553333333333333,0.0
Kpct_0.1,random,0.001,10,400,0.6974444444444445,0.029026382209940155
Kpct_0.1,uncertain,0.001,10,400,0.7461111111111111,0.0
Kpct_0.1,uniform,0.001,10,400,0.7435555555555555,0.0
Kpct_0.1,random,0.001,10,800,0.6839333333333334,0.031174625642509616
Kpct_0.1,uncertain,0.001,10,800,0.7161111111111111,0.0
Kpct_0.1,uniform,0.001,10,800,0.7284444444444444,0.0
Kpct_0.1,random,0.0001,0,200,0.7554111111111111,0.006919296688729765
Kpct_0.1,uncertain,0.0001,0,200,0.7603333333333333,0.0
Kpct_0.1,uniform,0.0001,0,200,0.768,0.0
Kpct_0.1,random,0.0001,0,400,0.7539333333333332,0.008728723691580035
Kpct_0.1,uncertain,0.0001,0,400,0.7554444444444445,0.0
Kpct_0.1,uniform,0.0001,0,400,0.7698888888888888,0.0
Kpct_0.1,random,0.0001,0,800,0.7511222222222222,0.01052996312703848
Kpct_0.1,uncertain,0.0001,0,800,0.7476666666666667,0.0
Kpct_0.1,uniform,0.0001,0,800,0.7714444444444445,0.0
Kpct_0.1,random,0.0001,5,200,0.7481888888888888,0.013710683407699731
Kpct_0.1,uncertain,0.0001,5,200,0.7715555555555556,0.0
Kpct_0.1,uniform,0.0001,5,200,0.768,0.0
Kpct_0.1,random,0.0001,5,400,0.7398111111111111,0.01903518833796315
Kpct_0.1,uncertain,0.0001,5,400,0.7698888888888888,0.0
Kpct_0.1,uniform,0.0001,5,400,0.7685555555555555,0.0
Kpct_0.1,random,0.0001,5,800,0.7332222222222222,0.022699214105066586
Kpct_0.1,uncertain,0.0001,5,800,0.766,0.0
Kpct_0.1,uniform,0.0001,5,800,0.765,0.0
Kpct_0.1,random,0.0001,10,200,0.7420444444444445,0.01583270564057939
Kpct_0.1,uncertain,0.0001,10,200,0.7707777777777778,0.0
Kpct_0.1,uniform,0.0001,10,200,0.7666666666666667,0.0
Kpct_0.1,random,0.0001,10,400,0.7329444444444444,0.020807776917463175
Kpct_0.1,uncertain,0.0001,10,400,0.7695555555555555,0.0
Kpct_0.1,uniform,0.0001,10,400,0.7665555555555555,0.0
Kpct_0.1,random,0.0001,10,800,0.7270555555555556,0.023505357939241252
Kpct_0.1,uncertain,0.0001,10,800,0.7663333333333333,0.0
Kpct_0.1,uniform,0.0001,10,800,0.7623333333333333,0.0
Kpct_0.1,random,1e-05,0,200,0.7659,0.0009486182283774144
Kpct_0.1,uncertain,1e-05,0,200,0.7658888888888888,0.0
Kpct_0.1,uniform,1e-05,0,200,0.765,0.0
Kpct_0.1,random,1e-05,0,400,0.7635555555555555,0.0019051586888313775
Kpct_0.1,uncertain,1e-05,0,400,0.7662222222222222,0.0
Kpct_0.1,uniform,1e-05,0,400,0.7663333333333333,0.0
Kpct_0.1,random,1e-05,0,800,0.7593555555555555,0.00424316443759188
Kpct_0.1,uncertain,1e-05,0,800,0.7663333333333333,0.0
Kpct_0.1,uniform,1e-05,0,800,0.7663333333333333,0.0
Kpct_0.1,random,1e-05,5,200,0.7626999999999999,0.001856619787957964
Kpct_0.1,uncertain,1e-05,5,200,0.7662222222222222,0.0
Kpct_0.1,uniform,1e-05,5,200,0.7645555555555555,0.0
Kpct_0.1,random,1e-05,5,400,0.7591222222222223,0.004547540374399129
Kpct_0.1,uncertain,1e-05,5,400,0.7662222222222222,0.0
Kpct_0.1,uniform,1e-05,5,400,0.7637777777777778,0.0
Kpct_0.1,random,1e-05,5,800,0.7545444444444445,0.008297768553229397
Kpct_0.1,uncertain,1e-05,5,800,0.7688888888888888,0.0
Kpct_0.1,uniform,1e-05,5,800,0.7653333333333333,0.0
Kpct_0.1,random,1e-05,10,200,0.7620222222222222,0.002062480826697263
Kpct_0.1,uncertain,1e-05,10,200,0.7656666666666667,0.0
Kpct_0.1,uniform,1e-05,10,200,0.7644444444444445,0.0
Kpct_0.1,random,1e-05,10,400,0.7566333333333334,0.005737261789347443
Kpct_0.1,uncertain,1e-05,10,400,0.765,0.0
Kpct_0.1,uniform,1e-05,10,400,0.763,0.0
Kpct_0.1,random,1e-05,10,800,0.7504333333333333,0.01032179164273573
Kpct_0.1,uncertain,1e-05,10,800,0.7668888888888888,0.0
Kpct_0.1,uniform,1e-05,10,800,0.7645555555555555,0.0
Kpct_1,random,0.001,0,200,0.8138888888888889,0.0037781045610297817
Kpct_1,uncertain,0.001,0,200,0.8236666666666667,0.0
Kpct_1,uniform,0.001,0,200,0.8232222222222222,0.0
Kpct_1,random,0.001,0,400,0.8135444444444445,0.003799756327469985
Kpct_1,uncertain,0.001,0,400,0.8118888888888889,0.0
Kpct_1,uniform,0.001,0,400,0.8213333333333334,0.0
Kpct_1,random,0.001,0,800,0.8126000000000001,0.003996974164181679
Kpct_1,uncertain,0.001,0,800,0.7973333333333333,0.0
Kpct_1,uniform,0.001,0,800,0.8197777777777778,0.0
Kpct_1,random,0.001,5,200,0.8112555555555556,0.005917342162796155
Kpct_1,uncertain,0.001,5,200,0.8065555555555556,0.0
Kpct_1,uniform,0.001,5,200,0.8194444444444444,0.0
