K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.7178666666666667,0.010711687398051752
Kpct_0.1,uncertain,0.001,0,200,0.7424444444444445,0.0
Kpct_0.1,uniform,0.001,0,200,0.7003333333333334,0.0
Kpct_0.1,random,0.001,0,400,0.709988888888889,0.011960681470324678
Kpct_0.1,uncertain,0.001,0,400,0.7265555555555555,0.0
Kpct_0.1,uniform,0.001,0,400,0.6887777777777778,0.0
Kpct_0.1,random,0.001,0,800,0.6998666666666666,0.014556132304095096
Kpct_0.1,uncertain,0.001,0,800,0.6831111111111111,0.0
Kpct_0.1,uniform,0.001,0,800,0.6726666666666666,0.0
Kpct_0.1,random,0.001,5,200,0.6994333333333334,0.011924396612319674
Kpct_0.1,uncertain,0.001,5,200,0.7348888888888889,0.0
Kpct_0.1,uniform,0.001,5,200,0.7291111111111112,0.0
Kpct_0.1,random,0.001,5,400,0.6829111111111111,0.016458087433699843
Kpct_0.1,uncertain,0.001,5,400,0.7112222222222222,0.0
Kpct_0.1,uniform,0.001,5,400,0.7198888888888889,0.0
Kpct_0.1,random,0.001,5,800,0.6724555555555555,0.01951994548160774
Kpct_0.1,uncertain,0.001,5,800,0.6597777777777778,0.0
Kpct_0.1,uniform,0.001,5,800,0.7016666666666667,0.0
Kpct_0.1,random,0.001,10,200,0.6962777777777778,0.012089608842940646
Kpct_0.1,uncertain,0.001,10,200,0.7361111111111112,0.0
Kpct_0.1,uniform,0.001,10,200,0.7303333333333333,0.0
Kpct_0.1,random,0.001,10,400,0.6815,0.015453254881084207
Kpct_0.1,uncertain,0.001,10,400,0.716,0.0
Kpct_0.1,uniform,0.001,10,400,0.72,0.0
Kpct_0.1,random,0.001,10,800,0.6682888888888889,0.01889811539366026
Kpct_0.1,uncertain,0.001,10,800,0.6718888888888889,0.0
Kpct_0.1,uniform,0.001,10,800,0.6991111111111111,0.0
Kpct_0.1,random,0.0001,0,200,0.7371666666666666,0.0053412556899739465
Kpct_0.1,uncertain,0.0001,0,200,0.7507777777777778,0.0
Kpct_0.1,uniform,0.0001,0,200,0.7318888888888889,0.0
Kpct_0.1,random,0.0001,0,400,0.7341111111111112,0.006828408342639365
Kpct_0.1,uncertain,0.0001,0,400,0.7521111111111111,0.0
Kpct_0.1,uniform,0.0001,0,400,0.724,0.0
Kpct_0.1,random,0.0001,0,800,0.7296222222222222,0.008387115338643168
Kpct_0.1,uncertain,0.0001,0,800,0.752,0.0
Kpct_0.1,uniform,0.0001,0,800,0.7177777777777777,0.0
Kpct_0.1,random,0.0001,5,200,0.7339888888888889,0.006544708540228741
Kpct_0.1,uncertain,0.0001,5,200,0.7485555555555555,0.0
Kpct_0.1,uniform,0.0001,5,200,0.7428888888888889,0.0
Kpct_0.1,random,0.0001,5,400,0.7266111111111112,0.008427944406175227
Kpct_0.1,uncertain,0.0001,5,400,0.7478888888888889,0.0
Kpct_0.1,uniform,0.0001,5,400,0.7436666666666667,0.0
Kpct_0.1,random,0.0001,5,800,0.7186333333333332,0.010755538337910925
Kpct_0.1,uncertain,0.0001,5,800,0.747,0.0
Kpct_0.1,uniform,0.0001,5,800,0.7403333333333333,0.0
Kpct_0.1,random,0.0001,10,200,0.7312777777777779,0.007841052146582886
Kpct_0.1,uncertain,0.0001,10,200,0.7478888888888889,0.0
Kpct_0.1,uniform,0.0001,10,200,0.7418888888888889,0.0
Kpct_0.1,random,0.0001,10,400,0.7212000000000001,0.009090056974654731
Kpct_0.1,uncertain,0.0001,10,400,0.7472222222222222,0.0
Kpct_0.1,uniform,0.0001,10,400,0.7416666666666667,0.0
Kpct_0.1,random,0.0001,10,800,0.7127777777777777,0.010617828007880825
Kpct_0.1,uncertain,0.0001,10,800,0.7465555555555555,0.0
Kpct_0.1,uniform,0.0001,10,800,0.7395555555555555,0.0
Kpct_0.1,random,1e-05,0,200,0.7411222222222221,0.0017209314159116209
Kpct_0.1,uncertain,1e-05,0,200,0.7447777777777778,0.0
Kpct_0.1,uniform,1e-05,0,200,0.7415555555555555,0.0
Kpct_0.1,random,1e-05,0,400,0.74,0.003342579768109194
Kpct_0.1,uncertain,1e-05,0,400,0.7466666666666667,0.0
Kpct_0.1,uniform,1e-05,0,400,0.7401111111111112,0.0
Kpct_0.1,random,1e-05,0,800,0.7390777777777778,0.004416034196503832
Kpct_0.1,uncertain,1e-05,0,800,0.7492222222222222,0.0
Kpct_0.1,uniform,1e-05,0,800,0.7378888888888889,0.0
Kpct_0.1,random,1e-05,5,200,0.7410333333333333,0.0018665674576810816
Kpct_0.1,uncertain,1e-05,5,200,0.7443333333333333,0.0
Kpct_0.1,uniform,1e-05,5,200,0.7422222222222222,0.0
Kpct_0.1,random,1e-05,5,400,0.7392,0.0019017860351408556
Kpct_0.1,uncertain,1e-05,5,400,0.7471111111111111,0.0
Kpct_0.1,uniform,1e-05,5,400,0.7436666666666667,0.0
Kpct_0.1,random,1e-05,5,800,0.7382666666666667,0.004560485137719239
Kpct_0.1,uncertain,1e-05,5,800,0.7478888888888889,0.0
Kpct_0.1,uniform,1e-05,5,800,0.7445555555555555,0.0
Kpct_0.1,random,1e-05,10,200,0.7401888888888889,0.0015955571030633053
Kpct_0.1,uncertain,1e-05,10,200,0.7438888888888889,0.0
Kpct_0.1,uniform,1e-05,10,200,0.7426666666666667,0.0
Kpct_0.1,random,1e-05,10,400,0.7382666666666667,0.0028580404233895
Kpct_0.1,uncertain,1e-05,10,400,0.7464444444444445,0.0
Kpct_0.1,uniform,1e-05,10,400,0.7427777777777778,0.0
Kpct_0.1,random,1e-05,10,800,0.7371666666666666,0.005213527040069015
Kpct_0.1,uncertain,1e-05,10,800,0.7485555555555555,0.0
Kpct_0.1,uniform,1e-05,10,800,0.745,0.0
Kpct_1,random,0.001,0,200,0.7758666666666667,0.0032469548887200275
Kpct_1,uncertain,0.001,0,200,0.782,0.0
Kpct_1,uniform,0.001,0,200,0.7891111111111111,0.0
Kpct_1,random,0.001,0,400,0.7746555555555557,0.003529575220131717
Kpct_1,uncertain,0.001,0,400,0.7621111111111111,0.0
Kpct_1,uniform,0.001,0,400,0.7855555555555556,0.0
Kpct_1,random,0.001,0,800,0.7721222222222222,0.0038893491791091527
Kpct_1,uncertain,0.001,0,800,0.7405555555555555,0.0
Kpct_1,uniform,0.001,0,800,0.784,0.0
Kpct_1,random,0.001,5,200,0.7703888888888889,0.005999434129694504
Kpct_1,uncertain,0.001,5,200,0.7667777777777778,0.0
Kpct_1,uniform,0.001,5,200,0.7751111111111111,0.0
Kpct_1,random,0.001,5,400,0.7675333333333334,0.005954726310427597
Kpct_1,uncertain,0.001,5,400,0.7408888888888889,0.0
Kpct_1,uniform,0.001,5,400,0.7682222222222223,0.0
Kpct_1,random,0.001,5,800,0.7644444444444445,0.007214868050605945
Kpct_1,uncertain,0.001,5,800,0.7118888888888889,0.0
Kpct_1,uniform,0.001,5,800,0.7567777777777778,0.0
Kpct_1,random,0.001,10,200,0.7651222222222221,0.007235620051582608
Kpct_1,uncertain,0.001,10,200,0.7652222222222222,0.0
Kpct_1,uniform,0.001,10,200,0.7692222222222223,0.0
