K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.6303666666666667,0.016210044896777912
Kpct_0.1,uncertain,0.001,0,200,0.6358888888888888,0.0
Kpct_0.1,uniform,0.001,0,200,0.6304444444444445,0.0
Kpct_0.1,random,0.001,0,400,0.6331777777777778,0.01659184687477706
Kpct_0.1,uncertain,0.001,0,400,0.6371111111111111,0.0
Kpct_0.1,uniform,0.001,0,400,0.6295555555555555,0.0
Kpct_0.1,random,0.001,0,800,0.6351555555555556,0.016985265946085713
Kpct_0.1,uncertain,0.001,0,800,0.6393333333333333,0.0
Kpct_0.1,uniform,0.001,0,800,0.6268888888888889,0.0
Kpct_0.1,random,0.001,5,200,0.6164777777777778,0.01534323754204454
Kpct_0.1,uncertain,0.001,5,200,0.6357777777777778,0.0
Kpct_0.1,uniform,0.001,5,200,0.6422222222222222,0.0
Kpct_0.1,random,0.001,5,400,0.6123,0.01598603171135799
Kpct_0.1,uncertain,0.001,5,400,0.6313333333333333,0.0
Kpct_0.1,uniform,0.001,5,400,0.6387777777777778,0.0
Kpct_0.1,random,0.001,5,800,0.6052333333333333,0.018160359081673134
Kpct_0.1,uncertain,0.001,5,800,0.6283333333333333,0.0
Kpct_0.1,uniform,0.001,5,800,0.634,0.0
Kpct_0.1,random,0.001,10,200,0.6124777777777778,0.013707531497431868
Kpct_0.1,uncertain,0.001,10,200,0.6353333333333333,0.0
Kpct_0.1,uniform,0.001,10,200,0.6418888888888888,0.0
Kpct_0.1,random,0.001,10,400,0.607911111111111,0.01480371991956042
Kpct_0.1,uncertain,0.001,10,400,0.6295555555555555,0.0
Kpct_0.1,uniform,0.001,10,400,0.6364444444444445,0.0
Kpct_0.1,random,0.001,10,800,0.6020666666666667,0.01762771387038876
Kpct_0.1,uncertain,0.001,10,800,0.623,0.0
Kpct_0.1,uniform,0.001,10,800,0.6316666666666667,0.0
Kpct_0.1,random,0.0001,0,200,0.6205999999999999,0.009835712204405987
Kpct_0.1,uncertain,0.0001,0,200,0.6285555555555555,0.0
Kpct_0.1,uniform,0.0001,0,200,0.6246666666666667,0.0
Kpct_0.1,random,0.0001,0,400,0.6244555555555557,0.010333506569635078
Kpct_0.1,uncertain,0.0001,0,400,0.6331111111111111,0.0
Kpct_0.1,uniform,0.0001,0,400,0.6265555555555555,0.0
Kpct_0.1,random,0.0001,0,800,0.6291666666666667,0.012452700634256802
Kpct_0.1,uncertain,0.0001,0,800,0.6371111111111111,0.0
Kpct_0.1,uniform,0.0001,0,800,0.6308888888888889,0.0
Kpct_0.1,random,0.0001,5,200,0.6213,0.010102077771856729
Kpct_0.1,uncertain,0.0001,5,200,0.6374444444444445,0.0
Kpct_0.1,uniform,0.0001,5,200,0.6391111111111111,0.0
Kpct_0.1,random,0.0001,5,400,0.6220777777777778,0.012755831394617181
Kpct_0.1,uncertain,0.0001,5,400,0.6407777777777778,0.0
