K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.4953333333333333,0.02545060575572483
Kpct_0.1,uncertain,0.001,0,200,0.303,0.0
Kpct_0.1,uniform,0.001,0,200,0.3953333333333333,0.0
Kpct_0.1,random,0.001,0,400,0.4953777777777778,0.024722069912140068
Kpct_0.1,uncertain,0.001,0,400,0.30666666666666664,0.0
Kpct_0.1,uniform,0.001,0,400,0.398,0.0
Kpct_0.1,random,0.001,0,800,0.4962000000000001,0.023727350473532156
Kpct_0.1,uncertain,0.001,0,800,0.3075555555555556,0.0
Kpct_0.1,uniform,0.001,0,800,0.3983333333333333,0.0
Kpct_0.1,random,0.001,5,200,0.45667777777777774,0.03287219734098546
Kpct_0.1,uncertain,0.001,5,200,0.3032222222222222,0.0
Kpct_0.1,uniform,0.001,5,200,0.4033333333333333,0.0
Kpct_0.1,random,0.001,5,400,0.4498888888888889,0.033258174526565744
Kpct_0.1,uncertain,0.001,5,400,0.30544444444444446,0.0
Kpct_0.1,uniform,0.001,5,400,0.3952222222222222,0.0
Kpct_0.1,random,0.001,5,800,0.4429777777777778,0.03457694229210565
Kpct_0.1,uncertain,0.001,5,800,0.3035555555555556,0.0
Kpct_0.1,uniform,0.001,5,800,0.38911111111111113,0.0
Kpct_0.1,random,0.001,10,200,0.4547999999999999,0.03330197784509295
Kpct_0.1,uncertain,0.001,10,200,0.30544444444444446,0.0
Kpct_0.1,uniform,0.001,10,200,0.4011111111111111,0.0
Kpct_0.1,random,0.001,10,400,0.44466666666666665,0.03413021542472698
Kpct_0.1,uncertain,0.001,10,400,0.3028888888888889,0.0
Kpct_0.1,uniform,0.001,10,400,0.3873333333333333,0.0
Kpct_0.1,random,0.001,10,800,0.4382,0.03535173524998716
Kpct_0.1,uncertain,0.001,10,800,0.301,0.0
Kpct_0.1,uniform,0.001,10,800,0.3851111111111111,0.0
Kpct_0.1,random,0.0001,0,200,0.4881444444444444,0.027524940430072014
Kpct_0.1,uncertain,0.0001,0,200,0.2991111111111111,0.0
Kpct_0.1,uniform,0.0001,0,200,0.39111111111111113,0.0
Kpct_0.1,random,0.0001,0,400,0.4916555555555556,0.025939266673434627
Kpct_0.1,uncertain,0.0001,0,400,0.3035555555555556,0.0
Kpct_0.1,uniform,0.0001,0,400,0.39244444444444443,0.0
Kpct_0.1,random,0.0001,0,800,0.4940444444444445,0.024452685479523378
Kpct_0.1,uncertain,0.0001,0,800,0.3085555555555556,0.0
Kpct_0.1,uniform,0.0001,0,800,0.3948888888888889,0.0
Kpct_0.1,random,0.0001,5,200,0.5175555555555557,0.02597900386803366
Kpct_0.1,uncertain,0.0001,5,200,0.36444444444444446,0.0
Kpct_0.1,uniform,0.0001,5,200,0.49444444444444446,0.0
Kpct_0.1,random,0.0001,5,400,0.4938666666666666,0.02911474956058026
Kpct_0.1,uncertain,0.0001,5,400,0.35988888888888887,0.0
Kpct_0.1,uniform,0.0001,5,400,0.45955555555555555,0.0
Kpct_0.1,random,0.0001,5,800,0.47248888888888896,0.03153329418210709
Kpct_0.1,uncertain,0.0001,5,800,0.35255555555555557,0.0
