K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.5327638888888888,0.0595734727012901
Kpct_0.1,uncertain,0.001,0,200,0.4395833333333333,0.0
Kpct_0.1,uniform,0.001,0,200,0.4315277777777778,0.0
Kpct_0.1,random,0.001,0,400,0.45625,0.0673657787615355
Kpct_0.1,uncertain,0.001,0,400,0.3630555555555556,0.0
Kpct_0.1,uniform,0.001,0,400,0.36916666666666664,0.0
Kpct_0.1,random,0.001,0,800,0.40069444444444446,0.06825969948713571
Kpct_0.1,uncertain,0.001,0,800,0.3363888888888889,0.0
Kpct_0.1,uniform,0.001,0,800,0.3134722222222222,0.0
Kpct_0.1,random,0.001,5,200,0.6499722222222222,0.050961995643812846
Kpct_0.1,uncertain,0.001,5,200,0.7686111111111111,0.0
Kpct_0.1,uniform,0.001,5,200,0.5980555555555556,0.0
Kpct_0.1,random,0.001,5,400,0.6437777777777778,0.04916693345815878
Kpct_0.1,uncertain,0.001,5,400,0.7534722222222222,0.0
Kpct_0.1,uniform,0.001,5,400,0.5940277777777778,0.0
Kpct_0.1,random,0.001,5,800,0.6353888888888888,0.04692215940480443
Kpct_0.1,uncertain,0.001,5,800,0.7230555555555556,0.0
Kpct_0.1,uniform,0.001,5,800,0.5890277777777778,0.0
Kpct_0.1,random,0.001,10,200,0.643625,0.05205693590307907
Kpct_0.1,uncertain,0.001,10,200,0.7711111111111111,0.0
Kpct_0.1,uniform,0.001,10,200,0.6019444444444444,0.0
Kpct_0.1,random,0.001,10,400,0.6390416666666666,0.050639256489797585
Kpct_0.1,uncertain,0.001,10,400,0.7555555555555555,0.0
Kpct_0.1,uniform,0.001,10,400,0.5979166666666667,0.0
Kpct_0.1,random,0.001,10,800,0.6329305555555556,0.049233258810971965
Kpct_0.1,uncertain,0.001,10,800,0.7301388888888889,0.0
Kpct_0.1,uniform,0.001,10,800,0.5927777777777777,0.0
Kpct_0.1,random,0.0001,0,200,0.7610277777777779,0.012933412084525402
Kpct_0.1,uncertain,0.0001,0,200,0.7375,0.0
Kpct_0.1,uniform,0.0001,0,200,0.7452777777777778,0.0
Kpct_0.1,random,0.0001,0,400,0.7185277777777779,0.03109233064103362
Kpct_0.1,uncertain,0.0001,0,400,0.6713888888888889,0.0
Kpct_0.1,uniform,0.0001,0,400,0.6791666666666667,0.0
Kpct_0.1,random,0.0001,0,800,0.6555555555555554,0.05080106747687616
Kpct_0.1,uncertain,0.0001,0,800,0.5836111111111111,0.0
Kpct_0.1,uniform,0.0001,0,800,0.5748611111111112,0.0
Kpct_0.1,random,0.0001,5,200,0.7356111111111111,0.021133595482659612
Kpct_0.1,uncertain,0.0001,5,200,0.7759722222222222,0.0
Kpct_0.1,uniform,0.0001,5,200,0.74875,0.0
Kpct_0.1,random,0.0001,5,400,0.6735555555555555,0.049157885279832614
Kpct_0.1,uncertain,0.0001,5,400,0.7734722222222222,0.0
Kpct_0.1,uniform,0.0001,5,400,0.6555555555555556,0.0
Kpct_0.1,random,0.0001,5,800,0.6548472222222222,0.05320758649668738
Kpct_0.1,uncertain,0.0001,5,800,0.7726388888888889,0.0
Kpct_0.1,uniform,0.0001,5,800,0.5952777777777778,0.0
Kpct_0.1,random,0.0001,10,200,0.734013888888889,0.0217966586591547
Kpct_0.1,uncertain,0.0001,10,200,0.7756944444444445,0.0
Kpct_0.1,uniform,0.0001,10,200,0.7470833333333333,0.0
Kpct_0.1,random,0.0001,10,400,0.6670138888888889,0.05004817316691668
Kpct_0.1,uncertain,0.0001,10,400,0.7744444444444445,0.0
Kpct_0.1,uniform,0.0001,10,400,0.6483333333333333,0.0
Kpct_0.1,random,0.0001,10,800,0.646625,0.0540545866791097
Kpct_0.1,uncertain,0.0001,10,800,0.7720833333333333,0.0
Kpct_0.1,uniform,0.0001,10,800,0.5902777777777778,0.0
Kpct_0.1,random,1e-05,0,200,0.7879444444444446,0.0006712803318663732
Kpct_0.1,uncertain,1e-05,0,200,0.7866666666666666,0.0
Kpct_0.1,uniform,1e-05,0,200,0.7873611111111111,0.0
Kpct_0.1,random,1e-05,0,400,0.7863611111111111,0.0017664570106205037
Kpct_0.1,uncertain,1e-05,0,400,0.7847222222222222,0.0
Kpct_0.1,uniform,1e-05,0,400,0.7858333333333334,0.0
Kpct_0.1,random,1e-05,0,800,0.7824305555555555,0.003112010038782248
Kpct_0.1,uncertain,1e-05,0,800,0.7768055555555555,0.0
Kpct_0.1,uniform,1e-05,0,800,0.7794444444444445,0.0
Kpct_0.1,random,1e-05,5,200,0.7873888888888889,0.0007238230122664262
Kpct_0.1,uncertain,1e-05,5,200,0.7883333333333333,0.0
Kpct_0.1,uniform,1e-05,5,200,0.7879166666666667,0.0
Kpct_0.1,random,1e-05,5,400,0.7860138888888888,0.001155452051988489
Kpct_0.1,uncertain,1e-05,5,400,0.7865277777777778,0.0
Kpct_0.1,uniform,1e-05,5,400,0.7879166666666667,0.0
Kpct_0.1,random,1e-05,5,800,0.7783055555555556,0.0034296276297890323
Kpct_0.1,uncertain,1e-05,5,800,0.7834722222222222,0.0
Kpct_0.1,uniform,1e-05,5,800,0.7838888888888889,0.0
Kpct_0.1,random,1e-05,10,200,0.7874305555555555,0.0007250212853409961
Kpct_0.1,uncertain,1e-05,10,200,0.7881944444444444,0.0
Kpct_0.1,uniform,1e-05,10,200,0.7879166666666667,0.0
Kpct_0.1,random,1e-05,10,400,0.7857916666666667,0.0011769552945766774
Kpct_0.1,uncertain,1e-05,10,400,0.7863888888888889,0.0
Kpct_0.1,uniform,1e-05,10,400,0.7872222222222223,0.0
Kpct_0.1,random,1e-05,10,800,0.778013888888889,0.0034460401769617426
Kpct_0.1,uncertain,1e-05,10,800,0.7847222222222222,0.0
Kpct_0.1,uniform,1e-05,10,800,0.7822222222222223,0.0
Kpct_1,random,0.001,0,200,0.7319444444444445,0.013252794953294721
Kpct_1,uncertain,0.001,0,200,0.7352777777777778,0.0
Kpct_1,uniform,0.001,0,200,0.7423611111111111,0.0
Kpct_1,random,0.001,0,400,0.7110277777777778,0.015409307552880456
Kpct_1,uncertain,0.001,0,400,0.67625,0.0
Kpct_1,uniform,0.001,0,400,0.7077777777777777,0.0
Kpct_1,random,0.001,0,800,0.6959583333333333,0.018447398734285782
Kpct_1,uncertain,0.001,0,800,0.5816666666666667,0.0
Kpct_1,uniform,0.001,0,800,0.6566666666666666,0.0
Kpct_1,random,0.001,5,200,0.7411805555555556,0.013019935154206895
Kpct_1,uncertain,0.001,5,200,0.7626388888888889,0.0
Kpct_1,uniform,0.001,5,200,0.7613888888888889,0.0
Kpct_1,random,0.001,5,400,0.7150694444444444,0.014092021481833056
Kpct_1,uncertain,0.001,5,400,0.7272222222222222,0.0
Kpct_1,uniform,0.001,5,400,0.7252777777777778,0.0
Kpct_1,random,0.001,5,800,0.6869027777777778,0.017169279062282113
Kpct_1,uncertain,0.001,5,800,0.6384722222222222,0.0
Kpct_1,uniform,0.001,5,800,0.6745833333333333,0.0
Kpct_1,random,0.001,10,200,0.7418888888888888,0.015267951385374953
Kpct_1,uncertain,0.001,10,200,0.7697222222222222,0.0
Kpct_1,uniform,0.001,10,200,0.7665277777777778,0.0
Kpct_1,random,0.001,10,400,0.7174583333333333,0.01221275675141102
Kpct_1,uncertain,0.001,10,400,0.7406944444444444,0.0
Kpct_1,uniform,0.001,10,400,0.7304166666666667,0.0
Kpct_1,random,0.001,10,800,0.6885138888888889,0.01581859084615392
Kpct_1,uncertain,0.001,10,800,0.6655555555555556,0.0
Kpct_1,uniform,0.001,10,800,0.67625,0.0
