K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.284,0.07187061312430969
Kpct_0.1,uncertain,0.001,0,200,0.22416666666666665,0.0
Kpct_0.1,uniform,0.001,0,200,0.36666666666666664,0.0
Kpct_0.1,random,0.001,0,400,0.2857222222222222,0.06887812976017321
Kpct_0.1,uncertain,0.001,0,400,0.2351388888888889,0.0
Kpct_0.1,uniform,0.001,0,400,0.36583333333333334,0.0
Kpct_0.1,random,0.001,0,800,0.2859861111111111,0.06688833085084682
Kpct_0.1,uncertain,0.001,0,800,0.23916666666666667,0.0
Kpct_0.1,uniform,0.001,0,800,0.36527777777777776,0.0
Kpct_0.1,random,0.001,5,200,0.33869444444444446,0.04725444978720373
Kpct_0.1,uncertain,0.001,5,200,0.29847222222222225,0.0
Kpct_0.1,uniform,0.001,5,200,0.2540277777777778,0.0
Kpct_0.1,random,0.001,5,400,0.3296944444444445,0.0459972154283332
Kpct_0.1,uncertain,0.001,5,400,0.29694444444444446,0.0
Kpct_0.1,uniform,0.001,5,400,0.24986111111111112,0.0
Kpct_0.1,random,0.001,5,800,0.32343055555555555,0.04277088012571632
Kpct_0.1,uncertain,0.001,5,800,0.2997222222222222,0.0
Kpct_0.1,uniform,0.001,5,800,0.24875,0.0
Kpct_0.1,random,0.001,10,200,0.32862500000000006,0.04510492097992123
Kpct_0.1,uncertain,0.001,10,200,0.2873611111111111,0.0
Kpct_0.1,uniform,0.001,10,200,0.24944444444444444,0.0
Kpct_0.1,random,0.001,10,400,0.31845833333333334,0.04234250274346389
Kpct_0.1,uncertain,0.001,10,400,0.295,0.0
Kpct_0.1,uniform,0.001,10,400,0.23958333333333334,0.0
Kpct_0.1,random,0.001,10,800,0.3130833333333334,0.03971084724466212
Kpct_0.1,uncertain,0.001,10,800,0.29694444444444446,0.0
Kpct_0.1,uniform,0.001,10,800,0.23541666666666666,0.0
Kpct_0.1,random,0.0001,0,200,0.2597361111111111,0.08258811348612784
Kpct_0.1,uncertain,0.0001,0,200,0.24180555555555555,0.0
Kpct_0.1,uniform,0.0001,0,200,0.3318055555555556,0.0
Kpct_0.1,random,0.0001,0,400,0.2678055555555555,0.08274220432489825
Kpct_0.1,uncertain,0.0001,0,400,0.23152777777777778,0.0
Kpct_0.1,uniform,0.0001,0,400,0.35055555555555556,0.0
Kpct_0.1,random,0.0001,0,800,0.2777777777777778,0.07731828557301705
Kpct_0.1,uncertain,0.0001,0,800,0.2086111111111111,0.0
Kpct_0.1,uniform,0.0001,0,800,0.36236111111111113,0.0
Kpct_0.1,random,0.0001,5,200,0.35673611111111114,0.0544884760299068
Kpct_0.1,uncertain,0.0001,5,200,0.3388888888888889,0.0
Kpct_0.1,uniform,0.0001,5,200,0.32263888888888886,0.0
Kpct_0.1,random,0.0001,5,400,0.35118055555555555,0.04924907759053481
Kpct_0.1,uncertain,0.0001,5,400,0.33402777777777776,0.0
Kpct_0.1,uniform,0.0001,5,400,0.29638888888888887,0.0
Kpct_0.1,random,0.0001,5,800,0.34941666666666665,0.044960836867788075
Kpct_0.1,uncertain,0.0001,5,800,0.32944444444444443,0.0
Kpct_0.1,uniform,0.0001,5,800,0.26763888888888887,0.0
Kpct_0.1,random,0.0001,10,200,0.3392638888888889,0.04814923632139282
Kpct_0.1,uncertain,0.0001,10,200,0.3184722222222222,0.0
Kpct_0.1,uniform,0.0001,10,200,0.3,0.0
Kpct_0.1,random,0.0001,10,400,0.3284861111111111,0.04959303709900921
Kpct_0.1,uncertain,0.0001,10,400,0.30430555555555555,0.0
Kpct_0.1,uniform,0.0001,10,400,0.27458333333333335,0.0
Kpct_0.1,random,0.0001,10,800,0.32856944444444447,0.04546714193096339
Kpct_0.1,uncertain,0.0001,10,800,0.3104166666666667,0.0
Kpct_0.1,uniform,0.0001,10,800,0.24916666666666668,0.0
Kpct_0.1,random,1e-05,0,200,0.23290277777777776,0.0350566918507511
