K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.8666805555555556,0.045160825866022804
Kpct_0.1,uncertain,0.001,0,200,0.8763888888888889,0.0
Kpct_0.1,uniform,0.001,0,200,0.8898611111111111,0.0
Kpct_0.1,random,0.001,0,400,0.8553194444444445,0.05383162227816254
Kpct_0.1,uncertain,0.001,0,400,0.8761111111111111,0.0
Kpct_0.1,uniform,0.001,0,400,0.88625,0.0
Kpct_0.1,random,0.001,0,800,0.8401111111111111,0.06405201999493926
Kpct_0.1,uncertain,0.001,0,800,0.8704166666666666,0.0
Kpct_0.1,uniform,0.001,0,800,0.88,0.0
Kpct_0.1,random,0.001,5,200,0.7893194444444445,0.036526639716111545
Kpct_0.1,uncertain,0.001,5,200,0.9170833333333334,0.0
Kpct_0.1,uniform,0.001,5,200,0.7916666666666666,0.0
Kpct_0.1,random,0.001,5,400,0.7849722222222222,0.038894930086320396
Kpct_0.1,uncertain,0.001,5,400,0.91375,0.0
Kpct_0.1,uniform,0.001,5,400,0.7859722222222222,0.0
Kpct_0.1,random,0.001,5,800,0.7781805555555554,0.040261608344444984
Kpct_0.1,uncertain,0.001,5,800,0.9056944444444445,0.0
Kpct_0.1,uniform,0.001,5,800,0.7765277777777778,0.0
Kpct_0.1,random,0.001,10,200,0.7835,0.039080914795262496
Kpct_0.1,uncertain,0.001,10,200,0.9177777777777778,0.0
Kpct_0.1,uniform,0.001,10,200,0.7854166666666667,0.0
Kpct_0.1,random,0.001,10,400,0.7797916666666668,0.041141892099098056
Kpct_0.1,uncertain,0.001,10,400,0.9138888888888889,0.0
Kpct_0.1,uniform,0.001,10,400,0.7797222222222222,0.0
Kpct_0.1,random,0.001,10,800,0.7741805555555555,0.042368416947410587
Kpct_0.1,uncertain,0.001,10,800,0.9079166666666667,0.0
Kpct_0.1,uniform,0.001,10,800,0.7715277777777778,0.0
Kpct_0.1,random,0.0001,0,200,0.9246944444444445,0.008132487053725457
Kpct_0.1,uncertain,0.0001,0,200,0.9220833333333334,0.0
Kpct_0.1,uniform,0.0001,0,200,0.9209722222222222,0.0
Kpct_0.1,random,0.0001,0,400,0.9166250000000001,0.01335184623336811
Kpct_0.1,uncertain,0.0001,0,400,0.9152777777777777,0.0
Kpct_0.1,uniform,0.0001,0,400,0.9158333333333334,0.0
Kpct_0.1,random,0.0001,0,800,0.9056111111111111,0.020897881486344097
Kpct_0.1,uncertain,0.0001,0,800,0.9086111111111111,0.0
Kpct_0.1,uniform,0.0001,0,800,0.90875,0.0
