K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.8208749999999998,0.04862075499576313
Kpct_0.1,uncertain,0.001,0,200,0.8415277777777778,0.0
Kpct_0.1,uniform,0.001,0,200,0.7604166666666666,0.0
Kpct_0.1,random,0.001,0,400,0.8200416666666666,0.04883358021995484
Kpct_0.1,uncertain,0.001,0,400,0.8425,0.0
Kpct_0.1,uniform,0.001,0,400,0.7556944444444444,0.0
Kpct_0.1,random,0.001,0,800,0.816236111111111,0.051677547017449865
Kpct_0.1,uncertain,0.001,0,800,0.8397222222222223,0.0
Kpct_0.1,uniform,0.001,0,800,0.7431944444444445,0.0
Kpct_0.1,random,0.001,5,200,0.7443055555555557,0.06461752380520355
Kpct_0.1,uncertain,0.001,5,200,0.9031944444444444,0.0
Kpct_0.1,uniform,0.001,5,200,0.8418055555555556,0.0
Kpct_0.1,random,0.001,5,400,0.7398472222222223,0.06455577219556306
Kpct_0.1,uncertain,0.001,5,400,0.8915277777777778,0.0
Kpct_0.1,uniform,0.001,5,400,0.8255555555555556,0.0
Kpct_0.1,random,0.001,5,800,0.7333472222222224,0.0632425778229458
Kpct_0.1,uncertain,0.001,5,800,0.8773611111111111,0.0
Kpct_0.1,uniform,0.001,5,800,0.8086111111111111,0.0
Kpct_0.1,random,0.001,10,200,0.7404444444444446,0.06596718694234596
Kpct_0.1,uncertain,0.001,10,200,0.9056944444444445,0.0
Kpct_0.1,uniform,0.001,10,200,0.8398611111111111,0.0
Kpct_0.1,random,0.001,10,400,0.7365555555555555,0.06631419554563107
Kpct_0.1,uncertain,0.001,10,400,0.895,0.0
Kpct_0.1,uniform,0.001,10,400,0.8252777777777778,0.0
Kpct_0.1,random,0.001,10,800,0.7305694444444446,0.06524350311773637
Kpct_0.1,uncertain,0.001,10,800,0.8811111111111111,0.0
Kpct_0.1,uniform,0.001,10,800,0.8072222222222222,0.0
Kpct_0.1,random,0.0001,0,200,0.9073472222222222,0.014666489108773684
Kpct_0.1,uncertain,0.0001,0,200,0.9051388888888889,0.0
Kpct_0.1,uniform,0.0001,0,200,0.8827777777777778,0.0
Kpct_0.1,random,0.0001,0,400,0.8947083333333333,0.019168020282314253
Kpct_0.1,uncertain,0.0001,0,400,0.8966666666666666,0.0
