K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.898125,0.018824056425453078
Kpct_0.1,uncertain,0.001,0,200,0.8586111111111111,0.0
Kpct_0.1,uniform,0.001,0,200,0.8773611111111111,0.0
Kpct_0.1,random,0.001,0,400,0.8973194444444446,0.0194392899914161
Kpct_0.1,uncertain,0.001,0,400,0.86,0.0
Kpct_0.1,uniform,0.001,0,400,0.8786111111111111,0.0
Kpct_0.1,random,0.001,0,800,0.8953888888888889,0.02050874926211485
Kpct_0.1,uncertain,0.001,0,800,0.8591666666666666,0.0
Kpct_0.1,uniform,0.001,0,800,0.8786111111111111,0.0
Kpct_0.1,random,0.001,5,200,0.7999305555555556,0.03963302193208507
Kpct_0.1,uncertain,0.001,5,200,0.9297222222222222,0.0
Kpct_0.1,uniform,0.001,5,200,0.8668055555555556,0.0
Kpct_0.1,random,0.001,5,400,0.7966111111111112,0.04075077633131593
Kpct_0.1,uncertain,0.001,5,400,0.9298611111111111,0.0
Kpct_0.1,uniform,0.001,5,400,0.8626388888888888,0.0
Kpct_0.1,random,0.001,5,800,0.7912222222222223,0.041366502148477584
Kpct_0.1,uncertain,0.001,5,800,0.9284722222222223,0.0
Kpct_0.1,uniform,0.001,5,800,0.8598611111111111,0.0
Kpct_0.1,random,0.001,10,200,0.7975277777777777,0.036914346553629816
Kpct_0.1,uncertain,0.001,10,200,0.9304166666666667,0.0
Kpct_0.1,uniform,0.001,10,200,0.8680555555555556,0.0
Kpct_0.1,random,0.001,10,400,0.7943333333333333,0.03751264190201933
Kpct_0.1,uncertain,0.001,10,400,0.9298611111111111,0.0
Kpct_0.1,uniform,0.001,10,400,0.8638888888888889,0.0
Kpct_0.1,random,0.001,10,800,0.7893333333333333,0.03881529743303296
Kpct_0.1,uncertain,0.001,10,800,0.9280555555555555,0.0
Kpct_0.1,uniform,0.001,10,800,0.8627777777777778,0.0
Kpct_0.1,random,0.0001,0,200,0.9268333333333334,0.0053173951666229125
Kpct_0.1,uncertain,0.0001,0,200,0.9163888888888889,0.0
Kpct_0.1,uniform,0.0001,0,200,0.9277777777777778,0.0
Kpct_0.1,random,0.0001,0,400,0.9231250000000001,0.006556158752851572
Kpct_0.1,uncertain,0.0001,0,400,0.9119444444444444,0.0
Kpct_0.1,uniform,0.0001,0,400,0.9230555555555555,0.0
Kpct_0.1,random,0.0001,0,800,0.9183333333333333,0.008970114991624294
Kpct_0.1,uncertain,0.0001,0,800,0.9090277777777778,0.0
Kpct_0.1,uniform,0.0001,0,800,0.9177777777777778,0.0
Kpct_0.1,random,0.0001,5,200,0.8187222222222221,0.03552645293333815
Kpct_0.1,uncertain,0.0001,5,200,0.9318055555555556,0.0
Kpct_0.1,uniform,0.0001,5,200,0.8990277777777778,0.0
Kpct_0.1,random,0.0001,5,400,0.8108194444444445,0.0334692512512752
Kpct_0.1,uncertain,0.0001,5,400,0.9323611111111111,0.0
Kpct_0.1,uniform,0.0001,5,400,0.8981944444444444,0.0
Kpct_0.1,random,0.0001,5,800,0.8060555555555556,0.0359700878817695
Kpct_0.1,uncertain,0.0001,5,800,0.9313888888888889,0.0
Kpct_0.1,uniform,0.0001,5,800,0.8936111111111111,0.0
Kpct_0.1,random,0.0001,10,200,0.8175833333333336,0.035066801330539896
Kpct_0.1,uncertain,0.0001,10,200,0.9325,0.0
Kpct_0.1,uniform,0.0001,10,200,0.8984722222222222,0.0
Kpct_0.1,random,0.0001,10,400,0.8100833333333334,0.03278685138064937
Kpct_0.1,uncertain,0.0001,10,400,0.9320833333333334,0.0
Kpct_0.1,uniform,0.0001,10,400,0.8983333333333333,0.0
Kpct_0.1,random,0.0001,10,800,0.8051666666666666,0.035094658152832844
Kpct_0.1,uncertain,0.0001,10,800,0.93125,0.0
Kpct_0.1,uniform,0.0001,10,800,0.8945833333333333,0.0
Kpct_0.1,random,1e-05,0,200,0.9358333333333334,0.000719009950308038
Kpct_0.1,uncertain,1e-05,0,200,0.9347222222222222,0.0
Kpct_0.1,uniform,1e-05,0,200,0.9355555555555556,0.0
Kpct_0.1,random,1e-05,0,400,0.9344444444444445,0.0017078251276599291
Kpct_0.1,uncertain,1e-05,0,400,0.9322222222222222,0.0
Kpct_0.1,uniform,1e-05,0,400,0.9347222222222222,0.0
Kpct_0.1,random,1e-05,0,800,0.9318888888888889,0.0035935470286213743
Kpct_0.1,uncertain,1e-05,0,800,0.9272222222222222,0.0
Kpct_0.1,uniform,1e-05,0,800,0.9323611111111111,0.0
Kpct_0.1,random,1e-05,5,200,0.9315833333333334,0.0022645278580209803
Kpct_0.1,uncertain,1e-05,5,200,0.9354166666666667,0.0
Kpct_0.1,uniform,1e-05,5,200,0.9320833333333334,0.0
Kpct_0.1,random,1e-05,5,400,0.9043055555555555,0.013934646845760007
Kpct_0.1,uncertain,1e-05,5,400,0.9327777777777778,0.0
Kpct_0.1,uniform,1e-05,5,400,0.925,0.0
Kpct_0.1,random,1e-05,5,800,0.8403611111111111,0.042778959218894644
Kpct_0.1,uncertain,1e-05,5,800,0.9309722222222222,0.0
Kpct_0.1,uniform,1e-05,5,800,0.9098611111111111,0.0
Kpct_0.1,random,1e-05,10,200,0.9315416666666667,0.00235329588943037
Kpct_0.1,uncertain,1e-05,10,200,0.9355555555555556,0.0
Kpct_0.1,uniform,1e-05,10,200,0.9318055555555556,0.0
Kpct_0.1,random,1e-05,10,400,0.9032638888888889,0.014891097732090339
Kpct_0.1,uncertain,1e-05,10,400,0.9326388888888889,0.0
Kpct_0.1,uniform,1e-05,10,400,0.9245833333333333,0.0
Kpct_0.1,random,1e-05,10,800,0.8392916666666667,0.0424572883599099
Kpct_0.1,uncertain,1e-05,10,800,0.9309722222222222,0.0
Kpct_0.1,uniform,1e-05,10,800,0.9097222222222222,0.0
Kpct_1,random,0.001,0,200,0.92125,0.008204560610710036
Kpct_1,uncertain,0.001,0,200,0.8919444444444444,0.0
Kpct_1,uniform,0.001,0,200,0.9161111111111111,0.0
Kpct_1,random,0.001,0,400,0.921638888888889,0.007744920677211361
Kpct_1,uncertain,0.001,0,400,0.8866666666666667,0.0
Kpct_1,uniform,0.001,0,400,0.9159722222222222,0.0
