K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.2791666666666667,0.07820426226109718
Kpct_0.1,uncertain,0.001,0,200,0.20902777777777778,0.0
Kpct_0.1,uniform,0.001,0,200,0.23527777777777778,0.0
Kpct_0.1,random,0.001,0,400,0.2798333333333333,0.07829224198042223
Kpct_0.1,uncertain,0.001,0,400,0.2098611111111111,0.0
Kpct_0.1,uniform,0.001,0,400,0.2388888888888889,0.0
Kpct_0.1,random,0.001,0,800,0.28090277777777783,0.07857403056558183
Kpct_0.1,uncertain,0.001,0,800,0.20666666666666667,0.0
Kpct_0.1,uniform,0.001,0,800,0.24194444444444443,0.0
Kpct_0.1,random,0.001,5,200,0.2805833333333333,0.031059530653962636
Kpct_0.1,uncertain,0.001,5,200,0.30625,0.0
Kpct_0.1,uniform,0.001,5,200,0.31444444444444447,0.0
Kpct_0.1,random,0.001,5,400,0.28118055555555554,0.031591910420427964
Kpct_0.1,uncertain,0.001,5,400,0.3036111111111111,0.0
Kpct_0.1,uniform,0.001,5,400,0.3134722222222222,0.0
Kpct_0.1,random,0.001,5,800,0.27697222222222223,0.026402175017960397
Kpct_0.1,uncertain,0.001,5,800,0.30277777777777776,0.0
Kpct_0.1,uniform,0.001,5,800,0.30833333333333335,0.0
Kpct_0.1,random,0.001,10,200,0.2856111111111111,0.021948505250154262
Kpct_0.1,uncertain,0.001,10,200,0.2920833333333333,0.0
Kpct_0.1,uniform,0.001,10,200,0.34069444444444447,0.0
Kpct_0.1,random,0.001,10,400,0.2847222222222222,0.02375527881555883
Kpct_0.1,uncertain,0.001,10,400,0.2898611111111111,0.0
Kpct_0.1,uniform,0.001,10,400,0.34375,0.0
Kpct_0.1,random,0.001,10,800,0.28074999999999994,0.024456846601289644
Kpct_0.1,uncertain,0.001,10,800,0.2836111111111111,0.0
Kpct_0.1,uniform,0.001,10,800,0.34902777777777777,0.0
Kpct_0.1,random,0.0001,0,200,0.2814027777777778,0.07716238314044986
Kpct_0.1,uncertain,0.0001,0,200,0.2011111111111111,0.0
Kpct_0.1,uniform,0.0001,0,200,0.23597222222222222,0.0
Kpct_0.1,random,0.0001,0,400,0.2819027777777778,0.07762798199079353
Kpct_0.1,uncertain,0.0001,0,400,0.20180555555555554,0.0
Kpct_0.1,uniform,0.0001,0,400,0.2388888888888889,0.0
Kpct_0.1,random,0.0001,0,800,0.2824861111111111,0.07805358958575974
Kpct_0.1,uncertain,0.0001,0,800,0.20402777777777778,0.0
Kpct_0.1,uniform,0.0001,0,800,0.24027777777777778,0.0
Kpct_0.1,random,0.0001,5,200,0.3123888888888889,0.03665613274612086
Kpct_0.1,uncertain,0.0001,5,200,0.2936111111111111,0.0
Kpct_0.1,uniform,0.0001,5,200,0.3198611111111111,0.0
Kpct_0.1,random,0.0001,5,400,0.3008194444444444,0.034745350630438286
Kpct_0.1,uncertain,0.0001,5,400,0.2975,0.0
Kpct_0.1,uniform,0.0001,5,400,0.32666666666666666,0.0
Kpct_0.1,random,0.0001,5,800,0.2915555555555555,0.033649014440834756
Kpct_0.1,uncertain,0.0001,5,800,0.29944444444444446,0.0
Kpct_0.1,uniform,0.0001,5,800,0.3186111111111111,0.0
Kpct_0.1,random,0.0001,10,200,0.2980277777777778,0.030207921453130775
