K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.6226333333333334,0.03512640489699528
Kpct_0.1,uncertain,0.001,0,200,0.314,0.0
Kpct_0.1,uniform,0.001,0,200,0.557,0.0
Kpct_0.1,random,0.001,0,400,0.6219666666666667,0.032846521134167056
Kpct_0.1,uncertain,0.001,0,400,0.3448888888888889,0.0
Kpct_0.1,uniform,0.001,0,400,0.5817777777777777,0.0
Kpct_0.1,random,0.001,0,800,0.6130777777777778,0.03081277793303646
Kpct_0.1,uncertain,0.001,0,800,0.34355555555555556,0.0
Kpct_0.1,uniform,0.001,0,800,0.5818888888888889,0.0
Kpct_0.1,random,0.001,5,200,0.6649222222222223,0.03505801364863183
Kpct_0.1,uncertain,0.001,5,200,0.41433333333333333,0.0
Kpct_0.1,uniform,0.001,5,200,0.6324444444444445,0.0
Kpct_0.1,random,0.001,5,400,0.6439444444444444,0.03745427665175464
Kpct_0.1,uncertain,0.001,5,400,0.39711111111111114,0.0
Kpct_0.1,uniform,0.001,5,400,0.613,0.0
Kpct_0.1,random,0.001,5,800,0.617311111111111,0.04120882681425677
Kpct_0.1,uncertain,0.001,5,800,0.35777777777777775,0.0
Kpct_0.1,uniform,0.001,5,800,0.5886666666666667,0.0
Kpct_0.1,random,0.001,10,200,0.6632555555555555,0.034060768134701915
Kpct_0.1,uncertain,0.001,10,200,0.42733333333333334,0.0
Kpct_0.1,uniform,0.001,10,200,0.6328888888888888,0.0
Kpct_0.1,random,0.001,10,400,0.6410888888888889,0.03697903309835032
Kpct_0.1,uncertain,0.001,10,400,0.4008888888888889,0.0
Kpct_0.1,uniform,0.001,10,400,0.6174444444444445,0.0
Kpct_0.1,random,0.001,10,800,0.6138888888888888,0.04170984429497563
Kpct_0.1,uncertain,0.001,10,800,0.3537777777777778,0.0
Kpct_0.1,uniform,0.001,10,800,0.5914444444444444,0.0
Kpct_0.1,random,0.0001,0,200,0.5082555555555556,0.024985677378731884
Kpct_0.1,uncertain,0.0001,0,200,0.19833333333333333,0.0
Kpct_0.1,uniform,0.0001,0,200,0.3804444444444444,0.0
Kpct_0.1,random,0.0001,0,400,0.5689111111111111,0.03000114401110913
Kpct_0.1,uncertain,0.0001,0,400,0.2561111111111111,0.0
Kpct_0.1,uniform,0.0001,0,400,0.43755555555555553,0.0
Kpct_0.1,random,0.0001,0,800,0.6050444444444445,0.034208373821422326
Kpct_0.1,uncertain,0.0001,0,800,0.27,0.0
Kpct_0.1,uniform,0.0001,0,800,0.49366666666666664,0.0
Kpct_0.1,random,0.0001,5,200,0.5638777777777778,0.02736626065472269
Kpct_0.1,uncertain,0.0001,5,200,0.3581111111111111,0.0
Kpct_0.1,uniform,0.0001,5,200,0.47944444444444445,0.0
Kpct_0.1,random,0.0001,5,400,0.6436333333333332,0.033824056381863137
Kpct_0.1,uncertain,0.0001,5,400,0.37922222222222224,0.0
Kpct_0.1,uniform,0.0001,5,400,0.5666666666666667,0.0
Kpct_0.1,random,0.0001,5,800,0.6656777777777778,0.03519867597117053
Kpct_0.1,uncertain,0.0001,5,800,0.3591111111111111,0.0
Kpct_0.1,uniform,0.0001,5,800,0.6061111111111112,0.0
Kpct_0.1,random,0.0001,10,200,0.5260444444444444,0.02618746283771192
Kpct_0.1,uncertain,0.0001,10,200,0.343,0.0
Kpct_0.1,uniform,0.0001,10,200,0.45466666666666666,0.0
Kpct_0.1,random,0.0001,10,400,0.6254444444444445,0.034457094451283775
Kpct_0.1,uncertain,0.0001,10,400,0.36966666666666664,0.0
Kpct_0.1,uniform,0.0001,10,400,0.5434444444444444,0.0
Kpct_0.1,random,0.0001,10,800,0.6599777777777778,0.036122999752389216
Kpct_0.1,uncertain,0.0001,10,800,0.36733333333333335,0.0
Kpct_0.1,uniform,0.0001,10,800,0.5947777777777777,0.0
Kpct_0.1,random,1e-05,0,200,0.23315555555555556,0.016779558404407237
Kpct_0.1,uncertain,1e-05,0,200,0.18088888888888888,0.0
Kpct_0.1,uniform,1e-05,0,200,0.2391111111111111,0.0
Kpct_0.1,random,1e-05,0,400,0.2928222222222222,0.02934575494570438
Kpct_0.1,uncertain,1e-05,0,400,0.16566666666666666,0.0
Kpct_0.1,uniform,1e-05,0,400,0.25922222222222224,0.0
Kpct_0.1,random,1e-05,0,800,0.3836222222222222,0.03032707302105977
Kpct_0.1,uncertain,1e-05,0,800,0.16055555555555556,0.0
Kpct_0.1,uniform,1e-05,0,800,0.3174444444444444,0.0
Kpct_0.1,random,1e-05,5,200,0.25343333333333334,0.007481904095141081
Kpct_0.1,uncertain,1e-05,5,200,0.233,0.0
Kpct_0.1,uniform,1e-05,5,200,0.24488888888888888,0.0
Kpct_0.1,random,1e-05,5,400,0.3185777777777778,0.012030496228592273
Kpct_0.1,uncertain,1e-05,5,400,0.2508888888888889,0.0
Kpct_0.1,uniform,1e-05,5,400,0.29655555555555557,0.0
Kpct_0.1,random,1e-05,5,800,0.4107222222222222,0.013058675750078144
Kpct_0.1,uncertain,1e-05,5,800,0.29288888888888887,0.0
Kpct_0.1,uniform,1e-05,5,800,0.3652222222222222,0.0
Kpct_0.1,random,1e-05,10,200,0.2504444444444444,0.006473116294946444
Kpct_0.1,uncertain,1e-05,10,200,0.2411111111111111,0.0
Kpct_0.1,uniform,1e-05,10,200,0.2447777777777778,0.0
Kpct_0.1,random,1e-05,10,400,0.3037222222222222,0.0125630508601048
Kpct_0.1,uncertain,1e-05,10,400,0.2577777777777778,0.0
Kpct_0.1,uniform,1e-05,10,400,0.2906666666666667,0.0
