K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.5796444444444444,0.040740030970248295
Kpct_0.1,uncertain,0.001,0,200,0.2627777777777778,0.0
Kpct_0.1,uniform,0.001,0,200,0.6194444444444445,0.0
Kpct_0.1,random,0.001,0,400,0.5892555555555555,0.03758887575130325
Kpct_0.1,uncertain,0.001,0,400,0.2548888888888889,0.0
Kpct_0.1,uniform,0.001,0,400,0.6325555555555555,0.0
Kpct_0.1,random,0.001,0,800,0.5924555555555555,0.03647923305724018
Kpct_0.1,uncertain,0.001,0,800,0.2518888888888889,0.0
Kpct_0.1,uniform,0.001,0,800,0.6301111111111111,0.0
Kpct_0.1,random,0.001,5,200,0.5994444444444444,0.03432624881959418
Kpct_0.1,uncertain,0.001,5,200,0.2618888888888889,0.0
Kpct_0.1,uniform,0.001,5,200,0.5702222222222222,0.0
Kpct_0.1,random,0.001,5,400,0.5833,0.03967388823152336
Kpct_0.1,uncertain,0.001,5,400,0.25666666666666665,0.0
Kpct_0.1,uniform,0.001,5,400,0.5611111111111111,0.0
Kpct_0.1,random,0.001,5,800,0.5604333333333333,0.04131840979096752
Kpct_0.1,uncertain,0.001,5,800,0.24322222222222223,0.0
Kpct_0.1,uniform,0.001,5,800,0.5405555555555556,0.0
Kpct_0.1,random,0.001,10,200,0.5975888888888888,0.03327862362122953
Kpct_0.1,uncertain,0.001,10,200,0.27311111111111114,0.0
Kpct_0.1,uniform,0.001,10,200,0.5647777777777778,0.0
Kpct_0.1,random,0.001,10,400,0.5788,0.03923618888881179
Kpct_0.1,uncertain,0.001,10,400,0.2788888888888889,0.0
Kpct_0.1,uniform,0.001,10,400,0.555,0.0
Kpct_0.1,random,0.001,10,800,0.553911111111111,0.04058838245266071
Kpct_0.1,uncertain,0.001,10,800,0.2561111111111111,0.0
Kpct_0.1,uniform,0.001,10,800,0.5303333333333333,0.0
Kpct_0.1,random,0.0001,0,200,0.49763333333333326,0.051904852409998266
Kpct_0.1,uncertain,0.0001,0,200,0.24388888888888888,0.0
Kpct_0.1,uniform,0.0001,0,200,0.533,0.0
Kpct_0.1,random,0.0001,0,400,0.5260999999999999,0.04874459640834405
Kpct_0.1,uncertain,0.0001,0,400,0.26033333333333336,0.0
Kpct_0.1,uniform,0.0001,0,400,0.5571111111111111,0.0
Kpct_0.1,random,0.0001,0,800,0.5543888888888888,0.04540224201784439
Kpct_0.1,uncertain,0.0001,0,800,0.2683333333333333,0.0
Kpct_0.1,uniform,0.0001,0,800,0.586,0.0
Kpct_0.1,random,0.0001,5,200,0.5839666666666666,0.02367397122538269
Kpct_0.1,uncertain,0.0001,5,200,0.2604444444444444,0.0
Kpct_0.1,uniform,0.0001,5,200,0.5226666666666666,0.0
Kpct_0.1,random,0.0001,5,400,0.5914555555555555,0.02683564287277391
Kpct_0.1,uncertain,0.0001,5,400,0.2627777777777778,0.0
Kpct_0.1,uniform,0.0001,5,400,0.5358888888888889,0.0
Kpct_0.1,random,0.0001,5,800,0.595,0.029919562946566915
Kpct_0.1,uncertain,0.0001,5,800,0.25933333333333336,0.0
Kpct_0.1,uniform,0.0001,5,800,0.5522222222222222,0.0
Kpct_0.1,random,0.0001,10,200,0.5677222222222222,0.024176881621463753
Kpct_0.1,uncertain,0.0001,10,200,0.25633333333333336,0.0
Kpct_0.1,uniform,0.0001,10,200,0.5056666666666667,0.0
Kpct_0.1,random,0.0001,10,400,0.5717,0.028210892301457673
Kpct_0.1,uncertain,0.0001,10,400,0.24788888888888888,0.0
Kpct_0.1,uniform,0.0001,10,400,0.5058888888888889,0.0
Kpct_0.1,random,0.0001,10,800,0.5760000000000001,0.030630252132148917
Kpct_0.1,uncertain,0.0001,10,800,0.2457777777777778,0.0
Kpct_0.1,uniform,0.0001,10,800,0.5224444444444445,0.0
Kpct_0.1,random,1e-05,0,200,0.3206777777777778,0.07098209563850992
Kpct_0.1,uncertain,1e-05,0,200,0.19777777777777777,0.0
Kpct_0.1,uniform,1e-05,0,200,0.3178888888888889,0.0
Kpct_0.1,random,1e-05,0,400,0.3975111111111111,0.06469572084996267
Kpct_0.1,uncertain,1e-05,0,400,0.22344444444444445,0.0
Kpct_0.1,uniform,1e-05,0,400,0.4295555555555556,0.0
Kpct_0.1,random,1e-05,0,800,0.4523,0.054621255980966545
Kpct_0.1,uncertain,1e-05,0,800,0.23377777777777778,0.0
Kpct_0.1,uniform,1e-05,0,800,0.499,0.0
Kpct_0.1,random,1e-05,5,200,0.3840777777777778,0.026086042339501615
Kpct_0.1,uncertain,1e-05,5,200,0.2147777777777778,0.0
Kpct_0.1,uniform,1e-05,5,200,0.35188888888888886,0.0
Kpct_0.1,random,1e-05,5,400,0.5087888888888888,0.029598900963914265
Kpct_0.1,uncertain,1e-05,5,400,0.25155555555555553,0.0
Kpct_0.1,uniform,1e-05,5,400,0.46655555555555556,0.0
Kpct_0.1,random,1e-05,5,800,0.5636444444444445,0.024373574032363645
Kpct_0.1,uncertain,1e-05,5,800,0.25655555555555554,0.0
Kpct_0.1,uniform,1e-05,5,800,0.5085555555555555,0.0
Kpct_0.1,random,1e-05,10,200,0.3732888888888889,0.019322615164364367
Kpct_0.1,uncertain,1e-05,10,200,0.2212222222222222,0.0
Kpct_0.1,uniform,1e-05,10,200,0.34,0.0
Kpct_0.1,random,1e-05,10,400,0.5072666666666666,0.0252225746426676
Kpct_0.1,uncertain,1e-05,10,400,0.24944444444444444,0.0
Kpct_0.1,uniform,1e-05,10,400,0.45655555555555555,0.0
Kpct_0.1,random,1e-05,10,800,0.5595333333333333,0.023779480728218262
Kpct_0.1,uncertain,1e-05,10,800,0.251,0.0
Kpct_0.1,uniform,1e-05,10,800,0.5003333333333333,0.0
Kpct_1,random,0.001,0,200,0.8069666666666666,0.005912959193141193
Kpct_1,uncertain,0.001,0,200,0.6598888888888889,0.0
Kpct_1,uniform,0.001,0,200,0.8054444444444444,0.0
Kpct_1,random,0.001,0,400,0.8080444444444443,0.005225578117937434
Kpct_1,uncertain,0.001,0,400,0.6662222222222223,0.0
Kpct_1,uniform,0.001,0,400,0.8076666666666666,0.0
Kpct_1,random,0.001,0,800,0.8070666666666668,0.005197625288723222
Kpct_1,uncertain,0.001,0,800,0.666,0.0
Kpct_1,uniform,0.001,0,800,0.805,0.0
Kpct_1,random,0.001,5,200,0.8064777777777777,0.004026164427839477
Kpct_1,uncertain,0.001,5,200,0.606,0.0
Kpct_1,uniform,0.001,5,200,0.8044444444444444,0.0
Kpct_1,random,0.001,5,400,0.8084,0.00552730595417976
Kpct_1,uncertain,0.001,5,400,0.6155555555555555,0.0
Kpct_1,uniform,0.001,5,400,0.808,0.0
Kpct_1,random,0.001,5,800,0.8051666666666666,0.007651555155410987
Kpct_1,uncertain,0.001,5,800,0.5988888888888889,0.0
Kpct_1,uniform,0.001,5,800,0.8064444444444444,0.0
Kpct_1,random,0.001,10,200,0.8032555555555556,0.00473704862014626
Kpct_1,uncertain,0.001,10,200,0.5948888888888889,0.0
Kpct_1,uniform,0.001,10,200,0.8018888888888889,0.0
Kpct_1,random,0.001,10,400,0.8053444444444444,0.006156087020779321
Kpct_1,uncertain,0.001,10,400,0.6086666666666667,0.0
Kpct_1,uniform,0.001,10,400,0.8053333333333333,0.0
Kpct_1,random,0.001,10,800,0.8017,0.008526364341786535
Kpct_1,uncertain,0.001,10,800,0.5977777777777777,0.0
Kpct_1,uniform,0.001,10,800,0.8037777777777778,0.0
Kpct_1,random,0.0001,0,200,0.7674888888888889,0.009248183004725253
Kpct_1,uncertain,0.0001,0,200,0.5488888888888889,0.0
Kpct_1,uniform,0.0001,0,200,0.7563333333333333,0.0
Kpct_1,random,0.0001,0,400,0.7863555555555555,0.007176057585411054
Kpct_1,uncertain,0.0001,0,400,0.6054444444444445,0.0
Kpct_1,uniform,0.0001,0,400,0.7818888888888889,0.0
Kpct_1,random,0.0001,0,800,0.8003444444444444,0.006080620907216951
Kpct_1,uncertain,0.0001,0,800,0.6381111111111111,0.0
Kpct_1,uniform,0.0001,0,800,0.7996666666666666,0.0
Kpct_1,random,0.0001,5,200,0.7614444444444445,0.003067149720409394
Kpct_1,uncertain,0.0001,5,200,0.5231111111111111,0.0
Kpct_1,uniform,0.0001,5,200,0.747,0.0
Kpct_1,random,0.0001,5,400,0.7800888888888888,0.004029765792906472
Kpct_1,uncertain,0.0001,5,400,0.5527777777777778,0.0
Kpct_1,uniform,0.0001,5,400,0.7694444444444445,0.0
Kpct_1,random,0.0001,5,800,0.7955777777777778,0.0033803352890899255
Kpct_1,uncertain,0.0001,5,800,0.5774444444444444,0.0
Kpct_1,uniform,0.0001,5,800,0.79,0.0
Kpct_1,random,0.0001,10,200,0.7538444444444444,0.0025787354542895313
Kpct_1,uncertain,0.0001,10,200,0.506,0.0
Kpct_1,uniform,0.0001,10,200,0.7397777777777778,0.0
Kpct_1,random,0.0001,10,400,0.7715888888888889,0.0038567081210358857
Kpct_1,uncertain,0.0001,10,400,0.5378888888888889,0.0
Kpct_1,uniform,0.0001,10,400,0.7615555555555555,0.0
Kpct_1,random,0.0001,10,800,0.7882333333333333,0.004717828020876524
Kpct_1,uncertain,0.0001,10,800,0.5562222222222222,0.0
Kpct_1,uniform,0.0001,10,800,0.7797777777777778,0.0
Kpct_1,random,1e-05,0,200,0.47838888888888886,0.024656116362356695
Kpct_1,uncertain,1e-05,0,200,0.26,0.0
Kpct_1,uniform,1e-05,0,200,0.4876666666666667,0.0
Kpct_1,random,1e-05,0,400,0.6417666666666666,0.02688220532179164
Kpct_1,uncertain,1e-05,0,400,0.3661111111111111,0.0
Kpct_1,uniform,1e-05,0,400,0.6471111111111111,0.0
Kpct_1,random,1e-05,0,800,0.7235444444444444,0.014143746164137546
Kpct_1,uncertain,1e-05,0,800,0.45011111111111113,0.0
Kpct_1,uniform,1e-05,0,800,0.7105555555555556,0.0
Kpct_1,random,1e-05,5,200,0.4711888888888889,0.011276551657486018
Kpct_1,uncertain,1e-05,5,200,0.2856666666666667,0.0
Kpct_1,uniform,1e-05,5,200,0.43366666666666664,0.0
Kpct_1,random,1e-05,5,400,0.6544,0.004740214091117576
Kpct_1,uncertain,1e-05,5,400,0.4011111111111111,0.0
Kpct_1,uniform,1e-05,5,400,0.6213333333333333,0.0
Kpct_1,random,1e-05,5,800,0.726311111111111,0.003427485130673466
