K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.5751999999999999,0.029689288087801864
Kpct_0.1,uncertain,0.001,0,200,0.26755555555555555,0.0
Kpct_0.1,uniform,0.001,0,200,0.5086666666666667,0.0
Kpct_0.1,random,0.001,0,400,0.5815,0.029573814326649864
Kpct_0.1,uncertain,0.001,0,400,0.26022222222222224,0.0
Kpct_0.1,uniform,0.001,0,400,0.5251111111111111,0.0
Kpct_0.1,random,0.001,0,800,0.5775111111111111,0.030030609898305388
Kpct_0.1,uncertain,0.001,0,800,0.27066666666666667,0.0
Kpct_0.1,uniform,0.001,0,800,0.5272222222222223,0.0
Kpct_0.1,random,0.001,5,200,0.5676444444444445,0.03451415168690471
Kpct_0.1,uncertain,0.001,5,200,0.284,0.0
Kpct_0.1,uniform,0.001,5,200,0.504,0.0
Kpct_0.1,random,0.001,5,400,0.5635666666666665,0.033706666739920295
Kpct_0.1,uncertain,0.001,5,400,0.293,0.0
Kpct_0.1,uniform,0.001,5,400,0.5174444444444445,0.0
Kpct_0.1,random,0.001,5,800,0.5475888888888889,0.03697743890069079
Kpct_0.1,uncertain,0.001,5,800,0.29533333333333334,0.0
Kpct_0.1,uniform,0.001,5,800,0.5136666666666667,0.0
Kpct_0.1,random,0.001,10,200,0.5673888888888888,0.03114578424993036
Kpct_0.1,uncertain,0.001,10,200,0.2991111111111111,0.0
Kpct_0.1,uniform,0.001,10,200,0.49044444444444446,0.0
Kpct_0.1,random,0.001,10,400,0.5608777777777778,0.0314549040318727
Kpct_0.1,uncertain,0.001,10,400,0.3021111111111111,0.0
Kpct_0.1,uniform,0.001,10,400,0.5097777777777778,0.0
Kpct_0.1,random,0.001,10,800,0.5441666666666667,0.03442778270847865
Kpct_0.1,uncertain,0.001,10,800,0.30955555555555553,0.0
Kpct_0.1,uniform,0.001,10,800,0.5165555555555555,0.0
Kpct_0.1,random,0.0001,0,200,0.5022666666666668,0.039748164023132894
Kpct_0.1,uncertain,0.0001,0,200,0.2861111111111111,0.0
Kpct_0.1,uniform,0.0001,0,200,0.41444444444444445,0.0
Kpct_0.1,random,0.0001,0,400,0.5228444444444443,0.03826119460165455
Kpct_0.1,uncertain,0.0001,0,400,0.29144444444444445,0.0
Kpct_0.1,uniform,0.0001,0,400,0.43377777777777776,0.0
Kpct_0.1,random,0.0001,0,800,0.5504555555555555,0.03325971314546351
Kpct_0.1,uncertain,0.0001,0,800,0.2892222222222222,0.0
Kpct_0.1,uniform,0.0001,0,800,0.4707777777777778,0.0
Kpct_0.1,random,0.0001,5,200,0.5389999999999999,0.024406232759909177
Kpct_0.1,uncertain,0.0001,5,200,0.32055555555555554,0.0
Kpct_0.1,uniform,0.0001,5,200,0.45,0.0
Kpct_0.1,random,0.0001,5,400,0.5323333333333333,0.031037929802416785
Kpct_0.1,uncertain,0.0001,5,400,0.2931111111111111,0.0
Kpct_0.1,uniform,0.0001,5,400,0.44966666666666666,0.0
