K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.5669888888888889,0.03040571137057341
Kpct_0.1,uncertain,0.001,0,200,0.2812222222222222,0.0
Kpct_0.1,uniform,0.001,0,200,0.46855555555555556,0.0
Kpct_0.1,random,0.001,0,400,0.571,0.03057110715352965
Kpct_0.1,uncertain,0.001,0,400,0.2812222222222222,0.0
Kpct_0.1,uniform,0.001,0,400,0.4706666666666667,0.0
Kpct_0.1,random,0.001,0,800,0.5722888888888888,0.030504935848336266
Kpct_0.1,uncertain,0.001,0,800,0.2816666666666667,0.0
Kpct_0.1,uniform,0.001,0,800,0.4736666666666667,0.0
Kpct_0.1,random,0.001,5,200,0.5581222222222222,0.024765490226782105
Kpct_0.1,uncertain,0.001,5,200,0.30277777777777776,0.0
Kpct_0.1,uniform,0.001,5,200,0.48933333333333334,0.0
Kpct_0.1,random,0.001,5,400,0.5260555555555556,0.03108658755678928
Kpct_0.1,uncertain,0.001,5,400,0.27844444444444444,0.0
Kpct_0.1,uniform,0.001,5,400,0.46655555555555556,0.0
Kpct_0.1,random,0.001,5,800,0.4994666666666667,0.03597992581604909
Kpct_0.1,uncertain,0.001,5,800,0.2644444444444444,0.0
Kpct_0.1,uniform,0.001,5,800,0.45266666666666666,0.0
Kpct_0.1,random,0.001,10,200,0.5586777777777778,0.019625974851937643
Kpct_0.1,uncertain,0.001,10,200,0.3111111111111111,0.0
Kpct_0.1,uniform,0.001,10,200,0.4812222222222222,0.0
Kpct_0.1,random,0.001,10,400,0.5235333333333333,0.026301612399524384
Kpct_0.1,uncertain,0.001,10,400,0.2852222222222222,0.0
Kpct_0.1,uniform,0.001,10,400,0.45755555555555555,0.0
Kpct_0.1,random,0.001,10,800,0.4950777777777778,0.0337017803684019
Kpct_0.1,uncertain,0.001,10,800,0.2702222222222222,0.0
Kpct_0.1,uniform,0.001,10,800,0.44377777777777777,0.0
Kpct_0.1,random,0.0001,0,200,0.5070222222222223,0.034468156712544024
Kpct_0.1,uncertain,0.0001,0,200,0.2508888888888889,0.0
Kpct_0.1,uniform,0.0001,0,200,0.43444444444444447,0.0
Kpct_0.1,random,0.0001,0,400,0.5440555555555556,0.030384785422727364
Kpct_0.1,uncertain,0.0001,0,400,0.2732222222222222,0.0
Kpct_0.1,uniform,0.0001,0,400,0.4483333333333333,0.0
Kpct_0.1,random,0.0001,0,800,0.5595111111111111,0.03012796576252128
Kpct_0.1,uncertain,0.0001,0,800,0.2802222222222222,0.0
Kpct_0.1,uniform,0.0001,0,800,0.4602222222222222,0.0
Kpct_0.1,random,0.0001,5,200,0.5577777777777777,0.02120592742665814
Kpct_0.1,uncertain,0.0001,5,200,0.3045555555555556,0.0
Kpct_0.1,uniform,0.0001,5,200,0.4696666666666667,0.0
Kpct_0.1,random,0.0001,5,400,0.5967666666666667,0.019164424989682956
Kpct_0.1,uncertain,0.0001,5,400,0.31977777777777777,0.0
Kpct_0.1,uniform,0.0001,5,400,0.5126666666666667,0.0
Kpct_0.1,random,0.0001,5,800,0.5862999999999999,0.019469384006183813
Kpct_0.1,uncertain,0.0001,5,800,0.32022222222222224,0.0
Kpct_0.1,uniform,0.0001,5,800,0.5112222222222222,0.0
Kpct_0.1,random,0.0001,10,200,0.5343555555555555,0.022600546262381015
Kpct_0.1,uncertain,0.0001,10,200,0.30566666666666664,0.0
Kpct_0.1,uniform,0.0001,10,200,0.45955555555555555,0.0
Kpct_0.1,random,0.0001,10,400,0.5851,0.018693330823690853
Kpct_0.1,uncertain,0.0001,10,400,0.3174444444444444,0.0
Kpct_0.1,uniform,0.0001,10,400,0.5044444444444445,0.0
Kpct_0.1,random,0.0001,10,800,0.5789333333333333,0.01723062160769756
Kpct_0.1,uncertain,0.0001,10,800,0.3257777777777778,0.0
Kpct_0.1,uniform,0.0001,10,800,0.5061111111111111,0.0
Kpct_0.1,random,1e-05,0,200,0.2778555555555555,0.013713654545293687
