K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.5513,0.014591985792986378
Kpct_0.1,uncertain,0.001,0,200,0.5402222222222223,0.0
Kpct_0.1,uniform,0.001,0,200,0.5616666666666666,0.0
Kpct_0.1,random,0.001,0,400,0.5522444444444444,0.014666902355008627
Kpct_0.1,uncertain,0.001,0,400,0.5441111111111111,0.0
Kpct_0.1,uniform,0.001,0,400,0.5644444444444444,0.0
Kpct_0.1,random,0.001,0,800,0.5547444444444445,0.014875703116487511
Kpct_0.1,uncertain,0.001,0,800,0.5458888888888889,0.0
Kpct_0.1,uniform,0.001,0,800,0.5643333333333334,0.0
Kpct_0.1,random,0.001,5,200,0.5302999999999999,0.024803178310873527
Kpct_0.1,uncertain,0.001,5,200,0.5428888888888889,0.0
Kpct_0.1,uniform,0.001,5,200,0.54,0.0
Kpct_0.1,random,0.001,5,400,0.5283888888888888,0.024423387395114782
Kpct_0.1,uncertain,0.001,5,400,0.5434444444444444,0.0
Kpct_0.1,uniform,0.001,5,400,0.5358888888888889,0.0
Kpct_0.1,random,0.001,5,800,0.5258999999999999,0.02409679298368904
Kpct_0.1,uncertain,0.001,5,800,0.5465555555555556,0.0
Kpct_0.1,uniform,0.001,5,800,0.5377777777777778,0.0
Kpct_0.1,random,0.001,10,200,0.5266666666666666,0.022897679002547477
Kpct_0.1,uncertain,0.001,10,200,0.5401111111111111,0.0
Kpct_0.1,uniform,0.001,10,200,0.5405555555555556,0.0
Kpct_0.1,random,0.001,10,400,0.5244222222222222,0.023638836009863825
Kpct_0.1,uncertain,0.001,10,400,0.5423333333333333,0.0
Kpct_0.1,uniform,0.001,10,400,0.5366666666666666,0.0
Kpct_0.1,random,0.001,10,800,0.5220333333333333,0.023510546622082948
Kpct_0.1,uncertain,0.001,10,800,0.5437777777777778,0.0
Kpct_0.1,uniform,0.001,10,800,0.5396666666666666,0.0
Kpct_0.1,random,0.0001,0,200,0.5365666666666666,0.010457019616470997
Kpct_0.1,uncertain,0.0001,0,200,0.5337777777777778,0.0
Kpct_0.1,uniform,0.0001,0,200,0.5425555555555556,0.0
Kpct_0.1,random,0.0001,0,400,0.5440555555555556,0.011234014706228253
Kpct_0.1,uncertain,0.0001,0,400,0.5377777777777778,0.0
Kpct_0.1,uniform,0.0001,0,400,0.5498888888888889,0.0
Kpct_0.1,random,0.0001,0,800,0.5482444444444445,0.011198192093942651
Kpct_0.1,uncertain,0.0001,0,800,0.538,0.0
Kpct_0.1,uniform,0.0001,0,800,0.5547777777777778,0.0
Kpct_0.1,random,0.0001,5,200,0.5345444444444445,0.010780349063269058
Kpct_0.1,uncertain,0.0001,5,200,0.5375555555555556,0.0
Kpct_0.1,uniform,0.0001,5,200,0.5423333333333333,0.0
Kpct_0.1,random,0.0001,5,400,0.5382666666666667,0.015230103393697486
Kpct_0.1,uncertain,0.0001,5,400,0.5406666666666666,0.0
Kpct_0.1,uniform,0.0001,5,400,0.5425555555555556,0.0
Kpct_0.1,random,0.0001,5,800,0.5374111111111111,0.019476231161262014
Kpct_0.1,uncertain,0.0001,5,800,0.5437777777777778,0.0
Kpct_0.1,uniform,0.0001,5,800,0.5411111111111111,0.0
Kpct_0.1,random,0.0001,10,200,0.5313333333333334,0.012660427313210496
Kpct_0.1,uncertain,0.0001,10,200,0.536,0.0
Kpct_0.1,uniform,0.0001,10,200,0.5392222222222223,0.0
Kpct_0.1,random,0.0001,10,400,0.5351333333333332,0.01662541561719418
Kpct_0.1,uncertain,0.0001,10,400,0.538,0.0
Kpct_0.1,uniform,0.0001,10,400,0.541,0.0
Kpct_0.1,random,0.0001,10,800,0.5351666666666666,0.019444206347748624
Kpct_0.1,uncertain,0.0001,10,800,0.5417777777777778,0.0
Kpct_0.1,uniform,0.0001,10,800,0.5382222222222223,0.0
Kpct_0.1,random,1e-05,0,200,0.5224666666666666,0.00133961483316458
Kpct_0.1,uncertain,1e-05,0,200,0.5233333333333333,0.0
Kpct_0.1,uniform,1e-05,0,200,0.5224444444444445,0.0
Kpct_0.1,random,1e-05,0,400,0.5235888888888889,0.003196081706027696
Kpct_0.1,uncertain,1e-05,0,400,0.5247777777777778,0.0
Kpct_0.1,uniform,1e-05,0,400,0.5278888888888889,0.0
