K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.7238888888888889,0.08934425461848866
Kpct_0.1,uncertain,0.001,0,200,0.6041666666666666,0.0
Kpct_0.1,uniform,0.001,0,200,0.6677777777777778,0.0
Kpct_0.1,random,0.001,0,400,0.6968055555555557,0.09605929479901439
Kpct_0.1,uncertain,0.001,0,400,0.5454166666666667,0.0
Kpct_0.1,uniform,0.001,0,400,0.6555555555555556,0.0
Kpct_0.1,random,0.001,0,800,0.662361111111111,0.10488916107544723
Kpct_0.1,uncertain,0.001,0,800,0.4822222222222222,0.0
Kpct_0.1,uniform,0.001,0,800,0.6405555555555555,0.0
Kpct_0.1,random,0.001,5,200,0.7595555555555555,0.057993780264634545
Kpct_0.1,uncertain,0.001,5,200,0.8652777777777778,0.0
Kpct_0.1,uniform,0.001,5,200,0.7752777777777777,0.0
Kpct_0.1,random,0.001,5,400,0.750361111111111,0.05849785661368339
Kpct_0.1,uncertain,0.001,5,400,0.8479166666666667,0.0
Kpct_0.1,uniform,0.001,5,400,0.7633333333333333,0.0
Kpct_0.1,random,0.001,5,800,0.7439444444444444,0.06003079842263687
Kpct_0.1,uncertain,0.001,5,800,0.8272222222222222,0.0
Kpct_0.1,uniform,0.001,5,800,0.7452777777777778,0.0
Kpct_0.1,random,0.001,10,200,0.7524583333333335,0.05546402355536982
Kpct_0.1,uncertain,0.001,10,200,0.8669444444444444,0.0
Kpct_0.1,uniform,0.001,10,200,0.7731944444444444,0.0
Kpct_0.1,random,0.001,10,400,0.7466111111111111,0.05717855669461246
Kpct_0.1,uncertain,0.001,10,400,0.8520833333333333,0.0
Kpct_0.1,uniform,0.001,10,400,0.7633333333333333,0.0
Kpct_0.1,random,0.001,10,800,0.7409444444444444,0.05830186982157054
Kpct_0.1,uncertain,0.001,10,800,0.83375,0.0
Kpct_0.1,uniform,0.001,10,800,0.7470833333333333,0.0
Kpct_0.1,random,0.0001,0,200,0.8891111111111112,0.02269838807024971
Kpct_0.1,uncertain,0.0001,0,200,0.8611111111111112,0.0
Kpct_0.1,uniform,0.0001,0,200,0.8694444444444445,0.0
Kpct_0.1,random,0.0001,0,400,0.8636111111111111,0.03403044207256674
Kpct_0.1,uncertain,0.0001,0,400,0.8204166666666667,0.0
Kpct_0.1,uniform,0.0001,0,400,0.8241666666666667,0.0
Kpct_0.1,random,0.0001,0,800,0.8273055555555555,0.04825425363454667
Kpct_0.1,uncertain,0.0001,0,800,0.7516666666666667,0.0
Kpct_0.1,uniform,0.0001,0,800,0.7734722222222222,0.0
Kpct_0.1,random,0.0001,5,200,0.8333888888888887,0.036514477933628366
Kpct_0.1,uncertain,0.0001,5,200,0.8826388888888889,0.0
Kpct_0.1,uniform,0.0001,5,200,0.8490277777777778,0.0
Kpct_0.1,random,0.0001,5,400,0.7956111111111112,0.04942981993458434
Kpct_0.1,uncertain,0.0001,5,400,0.8766666666666667,0.0
Kpct_0.1,uniform,0.0001,5,400,0.8386111111111111,0.0
Kpct_0.1,random,0.0001,5,800,0.7670138888888889,0.05478635025608767
Kpct_0.1,uncertain,0.0001,5,800,0.8718055555555555,0.0
Kpct_0.1,uniform,0.0001,5,800,0.7961111111111111,0.0
Kpct_0.1,random,0.0001,10,200,0.8301666666666666,0.034932076949417135
Kpct_0.1,uncertain,0.0001,10,200,0.88,0.0
Kpct_0.1,uniform,0.0001,10,200,0.8497222222222223,0.0
Kpct_0.1,random,0.0001,10,400,0.7902916666666667,0.04863992994951605
Kpct_0.1,uncertain,0.0001,10,400,0.8747222222222222,0.0
Kpct_0.1,uniform,0.0001,10,400,0.8355555555555556,0.0
Kpct_0.1,random,0.0001,10,800,0.7600555555555555,0.05414195305164854
Kpct_0.1,uncertain,0.0001,10,800,0.8718055555555555,0.0
Kpct_0.1,uniform,0.0001,10,800,0.7868055555555555,0.0
Kpct_0.1,random,1e-05,0,200,0.9266805555555557,0.001813497490527129
Kpct_0.1,uncertain,1e-05,0,200,0.9241666666666667,0.0
Kpct_0.1,uniform,1e-05,0,200,0.9265277777777777,0.0
Kpct_0.1,random,1e-05,0,400,0.9224444444444444,0.0040769034787824735
Kpct_0.1,uncertain,1e-05,0,400,0.9154166666666667,0.0
Kpct_0.1,uniform,1e-05,0,400,0.9205555555555556,0.0
Kpct_0.1,random,1e-05,0,800,0.9123194444444443,0.010206783707024233
Kpct_0.1,uncertain,1e-05,0,800,0.8986111111111111,0.0
Kpct_0.1,uniform,1e-05,0,800,0.9076388888888889,0.0
Kpct_0.1,random,1e-05,5,200,0.9252638888888889,0.0017606049921182268
Kpct_0.1,uncertain,1e-05,5,200,0.9254166666666667,0.0
Kpct_0.1,uniform,1e-05,5,200,0.9238888888888889,0.0
Kpct_0.1,random,1e-05,5,400,0.9105833333333333,0.007010463960271937
Kpct_0.1,uncertain,1e-05,5,400,0.9134722222222222,0.0
Kpct_0.1,uniform,1e-05,5,400,0.9166666666666666,0.0
Kpct_0.1,random,1e-05,5,800,0.8691527777777777,0.020439372295029373
Kpct_0.1,uncertain,1e-05,5,800,0.8869444444444444,0.0
Kpct_0.1,uniform,1e-05,5,800,0.87125,0.0
Kpct_0.1,random,1e-05,10,200,0.9253055555555555,0.0018475876831462118
Kpct_0.1,uncertain,1e-05,10,200,0.9255555555555556,0.0
Kpct_0.1,uniform,1e-05,10,200,0.9238888888888889,0.0
Kpct_0.1,random,1e-05,10,400,0.9103333333333333,0.007075485849042453
Kpct_0.1,uncertain,1e-05,10,400,0.91375,0.0
Kpct_0.1,uniform,1e-05,10,400,0.9152777777777777,0.0
Kpct_0.1,random,1e-05,10,800,0.8686805555555557,0.020773919910714735
Kpct_0.1,uncertain,1e-05,10,800,0.8866666666666667,0.0
Kpct_0.1,uniform,1e-05,10,800,0.8697222222222222,0.0
Kpct_1,random,0.001,0,200,0.9067777777777776,0.010335573233936966
Kpct_1,uncertain,0.001,0,200,0.9241666666666667,0.0
Kpct_1,uniform,0.001,0,200,0.9148611111111111,0.0
Kpct_1,random,0.001,0,400,0.9036527777777777,0.010602608941106175
Kpct_1,uncertain,0.001,0,400,0.9156944444444445,0.0
Kpct_1,uniform,0.001,0,400,0.9086111111111111,0.0
Kpct_1,random,0.001,0,800,0.8965972222222222,0.011422925089161382
Kpct_1,uncertain,0.001,0,800,0.9041666666666667,0.0
Kpct_1,uniform,0.001,0,800,0.9013888888888889,0.0
Kpct_1,random,0.001,5,200,0.8682638888888888,0.022092350534981438
Kpct_1,uncertain,0.001,5,200,0.9131944444444444,0.0
Kpct_1,uniform,0.001,5,200,0.9116666666666666,0.0
Kpct_1,random,0.001,5,400,0.8552361111111111,0.024255985165686937
Kpct_1,uncertain,0.001,5,400,0.8897222222222222,0.0
Kpct_1,uniform,0.001,5,400,0.9058333333333334,0.0
Kpct_1,random,0.001,5,800,0.8400833333333333,0.028000096450451165
Kpct_1,uncertain,0.001,5,800,0.8686111111111111,0.0
Kpct_1,uniform,0.001,5,800,0.8890277777777778,0.0
Kpct_1,random,0.001,10,200,0.8620555555555555,0.02403065172279401
Kpct_1,uncertain,0.001,10,200,0.9136111111111112,0.0
Kpct_1,uniform,0.001,10,200,0.9080555555555555,0.0
Kpct_1,random,0.001,10,400,0.851125,0.025999795969047508
Kpct_1,uncertain,0.001,10,400,0.8908333333333334,0.0
Kpct_1,uniform,0.001,10,400,0.9030555555555555,0.0
Kpct_1,random,0.001,10,800,0.837486111111111,0.027496664359989677
Kpct_1,uncertain,0.001,10,800,0.87,0.0
Kpct_1,uniform,0.001,10,800,0.8884722222222222,0.0
Kpct_1,random,0.0001,0,200,0.9138194444444444,0.007122508769586694
Kpct_1,uncertain,0.0001,0,200,0.9255555555555556,0.0
Kpct_1,uniform,0.0001,0,200,0.9213888888888889,0.0
Kpct_1,random,0.0001,0,400,0.9115,0.008631427646100994
Kpct_1,uncertain,0.0001,0,400,0.9272222222222222,0.0
Kpct_1,uniform,0.0001,0,400,0.9193055555555556,0.0
Kpct_1,random,0.0001,0,800,0.9103333333333333,0.009703394467789676
Kpct_1,uncertain,0.0001,0,800,0.9248611111111111,0.0
Kpct_1,uniform,0.0001,0,800,0.9181944444444444,0.0
Kpct_1,random,0.0001,5,200,0.8988472222222222,0.01094847112896265
Kpct_1,uncertain,0.0001,5,200,0.9201388888888888,0.0
Kpct_1,uniform,0.0001,5,200,0.9219444444444445,0.0
Kpct_1,random,0.0001,5,400,0.889875,0.016630452554290093
Kpct_1,uncertain,0.0001,5,400,0.9225,0.0
Kpct_1,uniform,0.0001,5,400,0.9213888888888889,0.0
Kpct_1,random,0.0001,5,800,0.8777638888888889,0.020650068939890305
Kpct_1,uncertain,0.0001,5,800,0.9206944444444445,0.0
Kpct_1,uniform,0.0001,5,800,0.9173611111111111,0.0
Kpct_1,random,0.0001,10,200,0.8908055555555556,0.014086757199407607
Kpct_1,uncertain,0.0001,10,200,0.91875,0.0
Kpct_1,uniform,0.0001,10,200,0.9181944444444444,0.0
Kpct_1,random,0.0001,10,400,0.8802916666666667,0.01929330646578537
Kpct_1,uncertain,0.0001,10,400,0.9219444444444445,0.0
Kpct_1,uniform,0.0001,10,400,0.9172222222222223,0.0
Kpct_1,random,0.0001,10,800,0.8698194444444445,0.022240361520343057
Kpct_1,uncertain,0.0001,10,800,0.9195833333333333,0.0
Kpct_1,uniform,0.0001,10,800,0.9120833333333334,0.0
Kpct_1,random,1e-05,0,200,0.9272222222222222,0.0019444444444444463
Kpct_1,uncertain,1e-05,0,200,0.9270833333333334,0.0
Kpct_1,uniform,1e-05,0,200,0.9266666666666666,0.0
Kpct_1,random,1e-05,0,400,0.9241527777777778,0.0027248074459095043
Kpct_1,uncertain,1e-05,0,400,0.9245833333333333,0.0
Kpct_1,uniform,1e-05,0,400,0.925,0.0
Kpct_1,random,1e-05,0,800,0.9190416666666668,0.0050607612087852786
Kpct_1,uncertain,1e-05,0,800,0.9244444444444444,0.0
Kpct_1,uniform,1e-05,0,800,0.9213888888888889,0.0
Kpct_1,random,1e-05,5,200,0.9267638888888889,0.0011587862157564572
Kpct_1,uncertain,1e-05,5,200,0.92375,0.0
Kpct_1,uniform,1e-05,5,200,0.9277777777777778,0.0
Kpct_1,random,1e-05,5,400,0.9183749999999999,0.002573795115446519
