K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.8823333333333334,0.021693341841378735
Kpct_0.1,uncertain,0.001,0,200,0.7952777777777778,0.0
Kpct_0.1,uniform,0.001,0,200,0.8868055555555555,0.0
Kpct_0.1,random,0.001,0,400,0.8753333333333332,0.024428672310713027
Kpct_0.1,uncertain,0.001,0,400,0.785,0.0
Kpct_0.1,uniform,0.001,0,400,0.8795833333333334,0.0
Kpct_0.1,random,0.001,0,800,0.8667777777777778,0.027116703089051092
Kpct_0.1,uncertain,0.001,0,800,0.7736111111111111,0.0
Kpct_0.1,uniform,0.001,0,800,0.8711111111111111,0.0
Kpct_0.1,random,0.001,5,200,0.7964027777777778,0.015722743660375453
Kpct_0.1,uncertain,0.001,5,200,0.8843055555555556,0.0
Kpct_0.1,uniform,0.001,5,200,0.8333333333333334,0.0
Kpct_0.1,random,0.001,5,400,0.7935972222222223,0.014995170261548885
Kpct_0.1,uncertain,0.001,5,400,0.8784722222222222,0.0
Kpct_0.1,uniform,0.001,5,400,0.8261111111111111,0.0
Kpct_0.1,random,0.001,5,800,0.7897777777777778,0.014768297920098658
Kpct_0.1,uncertain,0.001,5,800,0.8641666666666666,0.0
Kpct_0.1,uniform,0.001,5,800,0.8097222222222222,0.0
Kpct_0.1,random,0.001,10,200,0.7930555555555555,0.01993711177492683
Kpct_0.1,uncertain,0.001,10,200,0.8820833333333333,0.0
Kpct_0.1,uniform,0.001,10,200,0.83875,0.0
Kpct_0.1,random,0.001,10,400,0.7907916666666667,0.019192017252872815
Kpct_0.1,uncertain,0.001,10,400,0.8768055555555555,0.0
Kpct_0.1,uniform,0.001,10,400,0.8301388888888889,0.0
Kpct_0.1,random,0.001,10,800,0.7865555555555555,0.017787302136185543
Kpct_0.1,uncertain,0.001,10,800,0.8622222222222222,0.0
Kpct_0.1,uniform,0.001,10,800,0.8170833333333334,0.0
Kpct_0.1,random,0.0001,0,200,0.9122361111111111,0.0035493924449678735
Kpct_0.1,uncertain,0.0001,0,200,0.8930555555555556,0.0
Kpct_0.1,uniform,0.0001,0,200,0.9140277777777778,0.0
Kpct_0.1,random,0.0001,0,400,0.9079305555555555,0.0063896285803684725
Kpct_0.1,uncertain,0.0001,0,400,0.8826388888888889,0.0
Kpct_0.1,uniform,0.0001,0,400,0.9088888888888889,0.0
Kpct_0.1,random,0.0001,0,800,0.901888888888889,0.010019887631513043
Kpct_0.1,uncertain,0.0001,0,800,0.8638888888888889,0.0
Kpct_0.1,uniform,0.0001,0,800,0.8997222222222222,0.0
Kpct_0.1,random,0.0001,5,200,0.850611111111111,0.013205580096270366
