K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.2859722222222222,0.10056704584443427
Kpct_0.1,uncertain,0.001,0,200,0.18,0.0
Kpct_0.1,uniform,0.001,0,200,0.27319444444444446,0.0
Kpct_0.1,random,0.001,0,400,0.287625,0.09964288955974136
Kpct_0.1,uncertain,0.001,0,400,0.17972222222222223,0.0
Kpct_0.1,uniform,0.001,0,400,0.2733333333333333,0.0
Kpct_0.1,random,0.001,0,800,0.28900000000000003,0.09871551202731421
Kpct_0.1,uncertain,0.001,0,800,0.1798611111111111,0.0
Kpct_0.1,uniform,0.001,0,800,0.2727777777777778,0.0
Kpct_0.1,random,0.001,5,200,0.27877777777777774,0.03134933594508073
Kpct_0.1,uncertain,0.001,5,200,0.2127777777777778,0.0
Kpct_0.1,uniform,0.001,5,200,0.23694444444444446,0.0
Kpct_0.1,random,0.001,5,400,0.27634722222222224,0.031626927428699846
Kpct_0.1,uncertain,0.001,5,400,0.21013888888888888,0.0
Kpct_0.1,uniform,0.001,5,400,0.23791666666666667,0.0
Kpct_0.1,random,0.001,5,800,0.2681527777777778,0.02666370426253637
Kpct_0.1,uncertain,0.001,5,800,0.20319444444444446,0.0
Kpct_0.1,uniform,0.001,5,800,0.24055555555555555,0.0
Kpct_0.1,random,0.001,10,200,0.28241666666666665,0.02905050944072121
Kpct_0.1,uncertain,0.001,10,200,0.20805555555555555,0.0
Kpct_0.1,uniform,0.001,10,200,0.2544444444444444,0.0
Kpct_0.1,random,0.001,10,400,0.2782222222222222,0.027029847471286023
Kpct_0.1,uncertain,0.001,10,400,0.21041666666666667,0.0
Kpct_0.1,uniform,0.001,10,400,0.25375,0.0
Kpct_0.1,random,0.001,10,800,0.2715833333333334,0.02639219277563297
Kpct_0.1,uncertain,0.001,10,800,0.21097222222222223,0.0
Kpct_0.1,uniform,0.001,10,800,0.25833333333333336,0.0
Kpct_0.1,random,0.0001,0,200,0.2870138888888889,0.09403927079768588
Kpct_0.1,uncertain,0.0001,0,200,0.17916666666666667,0.0
Kpct_0.1,uniform,0.0001,0,200,0.2734722222222222,0.0
Kpct_0.1,random,0.0001,0,400,0.28738888888888886,0.09570365219368525
Kpct_0.1,uncertain,0.0001,0,400,0.1815277777777778,0.0
Kpct_0.1,uniform,0.0001,0,400,0.2761111111111111,0.0
Kpct_0.1,random,0.0001,0,800,0.28833333333333333,0.09649677759604075
Kpct_0.1,uncertain,0.0001,0,800,0.18180555555555555,0.0
Kpct_0.1,uniform,0.0001,0,800,0.27819444444444447,0.0
Kpct_0.1,random,0.0001,5,200,0.30879166666666663,0.032492464107319284
