K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.898236111111111,0.010292228954500184
Kpct_0.1,uncertain,0.001,0,200,0.8594444444444445,0.0
Kpct_0.1,uniform,0.001,0,200,0.8556944444444444,0.0
Kpct_0.1,random,0.001,0,400,0.8984027777777778,0.01022853254804521
Kpct_0.1,uncertain,0.001,0,400,0.86125,0.0
Kpct_0.1,uniform,0.001,0,400,0.8561111111111112,0.0
Kpct_0.1,random,0.001,0,800,0.8983055555555556,0.010328665313606307
Kpct_0.1,uncertain,0.001,0,800,0.8633333333333333,0.0
Kpct_0.1,uniform,0.001,0,800,0.8559722222222222,0.0
Kpct_0.1,random,0.001,5,200,0.7951527777777778,0.048437684687023454
Kpct_0.1,uncertain,0.001,5,200,0.8380555555555556,0.0
Kpct_0.1,uniform,0.001,5,200,0.8016666666666666,0.0
Kpct_0.1,random,0.001,5,400,0.7938611111111111,0.04884593283294923
Kpct_0.1,uncertain,0.001,5,400,0.8334722222222222,0.0
Kpct_0.1,uniform,0.001,5,400,0.8001388888888888,0.0
Kpct_0.1,random,0.001,5,800,0.7917638888888888,0.049508504460232784
Kpct_0.1,uncertain,0.001,5,800,0.8269444444444445,0.0
Kpct_0.1,uniform,0.001,5,800,0.7975,0.0
Kpct_0.1,random,0.001,10,200,0.7955833333333333,0.052436609289952765
Kpct_0.1,uncertain,0.001,10,200,0.8463888888888889,0.0
Kpct_0.1,uniform,0.001,10,200,0.8073611111111111,0.0
Kpct_0.1,random,0.001,10,400,0.7942916666666666,0.052997148260688826
Kpct_0.1,uncertain,0.001,10,400,0.8411111111111111,0.0
Kpct_0.1,uniform,0.001,10,400,0.8054166666666667,0.0
Kpct_0.1,random,0.001,10,800,0.7921805555555556,0.05367652349382099
Kpct_0.1,uncertain,0.001,10,800,0.8351388888888889,0.0
Kpct_0.1,uniform,0.001,10,800,0.8034722222222223,0.0
Kpct_0.1,random,0.0001,0,200,0.912888888888889,0.002149684157105085
Kpct_0.1,uncertain,0.0001,0,200,0.9069444444444444,0.0
Kpct_0.1,uniform,0.0001,0,200,0.9033333333333333,0.0
Kpct_0.1,random,0.0001,0,400,0.9116805555555555,0.00290370798492693
Kpct_0.1,uncertain,0.0001,0,400,0.9016666666666666,0.0
Kpct_0.1,uniform,0.0001,0,400,0.8991666666666667,0.0
Kpct_0.1,random,0.0001,0,800,0.9098472222222223,0.0035586195565342595
Kpct_0.1,uncertain,0.0001,0,800,0.8995833333333333,0.0
Kpct_0.1,uniform,0.0001,0,800,0.8954166666666666,0.0
Kpct_0.1,random,0.0001,5,200,0.8062638888888889,0.044801450266566754
Kpct_0.1,uncertain,0.0001,5,200,0.8559722222222222,0.0
Kpct_0.1,uniform,0.0001,5,200,0.8843055555555556,0.0
Kpct_0.1,random,0.0001,5,400,0.8019027777777777,0.04510084080202256
Kpct_0.1,uncertain,0.0001,5,400,0.8491666666666666,0.0
Kpct_0.1,uniform,0.0001,5,400,0.8786111111111111,0.0
Kpct_0.1,random,0.0001,5,800,0.7987222222222222,0.04618028613121074
Kpct_0.1,uncertain,0.0001,5,800,0.8429166666666666,0.0
Kpct_0.1,uniform,0.0001,5,800,0.8718055555555555,0.0
Kpct_0.1,random,0.0001,10,200,0.805013888888889,0.043730350525679126
Kpct_0.1,uncertain,0.0001,10,200,0.8598611111111111,0.0
Kpct_0.1,uniform,0.0001,10,200,0.8848611111111111,0.0
Kpct_0.1,random,0.0001,10,400,0.8009027777777777,0.04504542674544234
Kpct_0.1,uncertain,0.0001,10,400,0.8543055555555555,0.0
Kpct_0.1,uniform,0.0001,10,400,0.8790277777777777,0.0
Kpct_0.1,random,0.0001,10,800,0.7974722222222221,0.04645441147704932
Kpct_0.1,uncertain,0.0001,10,800,0.8486111111111111,0.0
Kpct_0.1,uniform,0.0001,10,800,0.87125,0.0
Kpct_0.1,random,1e-05,0,200,0.9156527777777779,0.0008696929002473974
Kpct_0.1,uncertain,1e-05,0,200,0.915,0.0
Kpct_0.1,uniform,1e-05,0,200,0.9133333333333333,0.0
Kpct_0.1,random,1e-05,0,400,0.9150555555555554,0.0013031893450822186
Kpct_0.1,uncertain,1e-05,0,400,0.9136111111111112,0.0
Kpct_0.1,uniform,1e-05,0,400,0.9119444444444444,0.0
Kpct_0.1,random,1e-05,0,800,0.9143194444444444,0.0014142817616142232
Kpct_0.1,uncertain,1e-05,0,800,0.9125,0.0
Kpct_0.1,uniform,1e-05,0,800,0.9105555555555556,0.0
Kpct_0.1,random,1e-05,5,200,0.9110138888888889,0.0020223004411001923
Kpct_0.1,uncertain,1e-05,5,200,0.9148611111111111,0.0
Kpct_0.1,uniform,1e-05,5,200,0.9143055555555556,0.0
Kpct_0.1,random,1e-05,5,400,0.8827777777777778,0.013742001040335877
Kpct_0.1,uncertain,1e-05,5,400,0.9038888888888889,0.0
Kpct_0.1,uniform,1e-05,5,400,0.9076388888888889,0.0
Kpct_0.1,random,1e-05,5,800,0.8347777777777777,0.034980825876647706
Kpct_0.1,uncertain,1e-05,5,800,0.8730555555555556,0.0
Kpct_0.1,uniform,1e-05,5,800,0.8909722222222223,0.0
Kpct_0.1,random,1e-05,10,200,0.91075,0.002103788469862403
Kpct_0.1,uncertain,1e-05,10,200,0.9148611111111111,0.0
Kpct_0.1,uniform,1e-05,10,200,0.9141666666666667,0.0
Kpct_0.1,random,1e-05,10,400,0.8815,0.014421295553177553
